Run[#],TestType[test.f],Files[#],TotalSize[MB],TotalOps[#],Throughput[ops/s],Latency[ms/op]
0,def_fileserver.f,50000,6250.000MB,410437,6840.033,21.1
0,def_fileserver.f,50000,6250.000MB,414141,6901.758,21.1
0,def_fileserver.f,50000,6250.000MB,464903,7747.666,18.6
0,def_fileserver.f,50000,6250.000MB,409643,6826.808,21.4
0,def_fileserver.f,50000,6250.000MB,423314,7054.695,20.5
1,def_varmail.f,50000,781.250MB,46969,782.727,66.3
1,def_varmail.f,50000,781.250MB,48708,811.709,63.9
1,def_varmail.f,50000,781.250MB,49153,819.123,63.2
1,def_varmail.f,50000,781.250MB,50063,834.288,61.9
1,def_varmail.f,50000,781.250MB,53438,890.537,57.7
2,def_webserver.f,50000,6250.000MB,13479150,224624.875,0.7
2,def_webserver.f,50000,6250.000MB,13984858,233046.204,0.6
2,def_webserver.f,50000,6250.000MB,13876053,231237.023,0.7
2,def_webserver.f,50000,6250.000MB,13780954,229645.663,0.7
2,def_webserver.f,50000,6250.000MB,13434940,223880.697,0.7
