Run[#],TestType[test.f],Files[#],TotalSize[MB],TotalOps[#],Throughput[ops/s],Latency[ms/op]
0,def_fileserver.f,50000,6250.000MB,466928,7781.521,18.8
0,def_fileserver.f,50000,6250.000MB,433439,7223.349,20.0
0,def_fileserver.f,50000,6250.000MB,424078,7067.271,20.7
0,def_fileserver.f,50000,6250.000MB,402146,6701.819,21.6
0,def_fileserver.f,50000,6250.000MB,476330,7938.188,18.5
1,def_varmail.f,50000,781.250MB,47113,785.126,66.1
1,def_varmail.f,50000,781.250MB,42821,713.604,72.7
1,def_varmail.f,50000,781.250MB,49799,829.889,62.5
1,def_varmail.f,50000,781.250MB,48248,804.046,64.5
1,def_varmail.f,50000,781.250MB,50608,843.369,61.4
2,def_webserver.f,50000,781.250MB,41753278,695836.626,0.2
2,def_webserver.f,50000,781.250MB,41766849,696011.917,0.2
2,def_webserver.f,50000,781.250MB,41539815,692279.114,0.2
2,def_webserver.f,50000,781.250MB,40964095,682682.942,0.2
2,def_webserver.f,50000,781.250MB,40987632,683079.202,0.2
