Run[#],TestType[test.f],Files[#],TotalSize[MB],TotalOps[#],Throughput[ops/s],Latency[ms/op]
0,my_fileserver.f,50000,6250.000MB,505595,8425.787,23.0
0,my_fileserver.f,50000,6250.000MB,498783,8312.309,23.2
0,my_fileserver.f,50000,6250.000MB,513401,8556.006,22.6
0,my_fileserver.f,50000,6250.000MB,505572,8425.313,23.1
0,my_fileserver.f,50000,6250.000MB,521425,8689.721,22.2
1,my_varmail.f,50000,781.250MB,85727,1428.627,61.6
1,my_varmail.f,50000,781.250MB,94197,1569.780,56.0
1,my_varmail.f,50000,781.250MB,89082,1484.539,59.2
1,my_varmail.f,50000,781.250MB,90250,1504.007,58.4
1,my_varmail.f,50000,781.250MB,89489,1491.331,58.9
2,my_webserver.f,50000,781.250MB,77335572,1288845.024,0.1
2,my_webserver.f,50000,781.250MB,77578182,1292871.356,0.1
2,my_webserver.f,50000,781.250MB,77813151,1296801.018,0.1
2,my_webserver.f,50000,781.250MB,77677292,1294539.416,0.1
2,my_webserver.f,50000,781.250MB,77973336,1299472.694,0.1
