05-15-2017_20-26-07
Run[#],TestType[test.f],Files[#],TotalSize[MB],TotalOps[#],Throughput[ops/s],Latency[ms/op]
0,adjustAPPEND_16_fileserver.f,50000,48.828MB,870280,13769.223,10.5
0,adjustAPPEND_16_fileserver.f,50000,48.828MB,756635,12600.227,10.1
0,adjustAPPEND_16_fileserver.f,50000,48.828MB,806006,13430.084,10.0
0,adjustAPPEND_16_fileserver.f,50000,48.828MB,723063,11707.693,9.7
0,adjustAPPEND_16_fileserver.f,50000,48.828MB,937479,12926.146,9.2
1,adjustAPPEND_16_fileserver.f,50000,97.656MB,,,
1,adjustAPPEND_16_fileserver.f,50000,97.656MB,829478,13819.261,9.3
1,adjustAPPEND_16_fileserver.f,50000,97.656MB,1004530,10789.229,13.7
1,adjustAPPEND_16_fileserver.f,50000,97.656MB,1099507,15556.746,9.5
1,adjustAPPEND_16_fileserver.f,50000,97.656MB,1147578,14089.776,10.4
2,adjustAPPEND_16_fileserver.f,50000,195.312MB,833563,12213.766,11.8
2,adjustAPPEND_16_fileserver.f,50000,195.312MB,909069,13979.505,8.1
2,adjustAPPEND_16_fileserver.f,50000,195.312MB,570737,9103.432,15.9
2,adjustAPPEND_16_fileserver.f,50000,195.312MB,754926,12578.468,11.7
2,adjustAPPEND_16_fileserver.f,50000,195.312MB,885336,12229.016,12.2
3,adjustAPPEND_16_fileserver.f,50000,390.625MB,744140,8098.373,17.2
3,adjustAPPEND_16_fileserver.f,50000,390.625MB,845737,10800.038,12.7
3,adjustAPPEND_16_fileserver.f,50000,390.625MB,495375,8253.758,14.2
3,adjustAPPEND_16_fileserver.f,50000,390.625MB,817125,10536.711,12.4
3,adjustAPPEND_16_fileserver.f,50000,390.625MB,947143,11810.412,11.9
4,adjustAPPEND_16_fileserver.f,50000,781.250MB,608506,6522.126,22.2
4,adjustAPPEND_16_fileserver.f,50000,781.250MB,831579,8593.090,15.7
4,adjustAPPEND_16_fileserver.f,50000,781.250MB,580665,7346.199,16.1
4,adjustAPPEND_16_fileserver.f,50000,781.250MB,472099,6369.923,21.1
4,adjustAPPEND_16_fileserver.f,50000,781.250MB,743239,9370.499,15.7
5,adjustAPPEND_16_fileserver.f,50000,1562.500MB,650982,4808.465,24.6
5,adjustAPPEND_16_fileserver.f,50000,1562.500MB,609117,4921.631,25.6
5,adjustAPPEND_16_fileserver.f,50000,1562.500MB,611389,5414.819,26.1
5,adjustAPPEND_16_fileserver.f,50000,1562.500MB,547009,6485.121,14.4
5,adjustAPPEND_16_fileserver.f,50000,1562.500MB,756244,5916.180,25.2
6,adjustAPPEND_16_fileserver.f,50000,3125.000MB,547822,6509.590,13.2
6,adjustAPPEND_16_fileserver.f,50000,3125.000MB,329929,3373.233,33.3
6,adjustAPPEND_16_fileserver.f,50000,3125.000MB,353450,3001.617,34.3
6,adjustAPPEND_16_fileserver.f,50000,3125.000MB,596727,4110.483,35.6
6,adjustAPPEND_16_fileserver.f,50000,3125.000MB,173698,2096.483,34.5
7,adjustAPPEND_16_fileserver.f,50000,6250.000MB,234377,3202.580,20.6
7,adjustAPPEND_16_fileserver.f,50000,6250.000MB,169854,2576.527,56.7
7,adjustAPPEND_16_fileserver.f,50000,6250.000MB,215741,2369.650,62.8
7,adjustAPPEND_16_fileserver.f,50000,6250.000MB,191629,2173.604,62.8
7,adjustAPPEND_16_fileserver.f,50000,6250.000MB,479929,2543.707,55.0
0,adjustAPPEND_16_webserver.f,50000,48.828MB,6780561,105483.416,2.5
0,adjustAPPEND_16_webserver.f,50000,48.828MB,7435921,108188.535,2.5
0,adjustAPPEND_16_webserver.f,50000,48.828MB,6684529,111377.024,2.3
0,adjustAPPEND_16_webserver.f,50000,48.828MB,5928688,98771.087,2.8
0,adjustAPPEND_16_webserver.f,50000,48.828MB,6282363,104657.379,2.4
1,adjustAPPEND_16_webserver.f,50000,97.656MB,5890098,98115.973,2.8
1,adjustAPPEND_16_webserver.f,50000,97.656MB,7185319,102255.305,2.7
1,adjustAPPEND_16_webserver.f,50000,97.656MB,6243410,104021.331,2.6
1,adjustAPPEND_16_webserver.f,50000,97.656MB,7147001,107877.536,2.5
1,adjustAPPEND_16_webserver.f,50000,97.656MB,7078834,104566.945,2.3
2,adjustAPPEND_16_webserver.f,50000,195.312MB,5219832,86969.025,2.9
2,adjustAPPEND_16_webserver.f,50000,195.312MB,5615796,93463.622,2.8
2,adjustAPPEND_16_webserver.f,50000,195.312MB,6687383,97616.524,2.8
2,adjustAPPEND_16_webserver.f,50000,195.312MB,6048132,100774.067,2.6
2,adjustAPPEND_16_webserver.f,50000,195.312MB,6727272,97499.002,2.8
3,adjustAPPEND_16_webserver.f,50000,390.625MB,6158911,90051.100,3.0
3,adjustAPPEND_16_webserver.f,50000,390.625MB,5004422,83369.923,3.0
3,adjustAPPEND_16_webserver.f,50000,390.625MB,5365550,77651.444,3.5
3,adjustAPPEND_16_webserver.f,50000,390.625MB,5438849,90618.534,2.8
3,adjustAPPEND_16_webserver.f,50000,390.625MB,5287177,88088.674,2.9
4,adjustAPPEND_16_webserver.f,50000,781.250MB,3996922,66594.008,3.4
4,adjustAPPEND_16_webserver.f,50000,781.250MB,4672761,77845.495,3.5
4,adjustAPPEND_16_webserver.f,50000,781.250MB,4861780,81000.921,3.4
4,adjustAPPEND_16_webserver.f,50000,781.250MB,4077359,67913.781,4.0
4,adjustAPPEND_16_webserver.f,50000,781.250MB,4460616,74319.522,3.7
5,adjustAPPEND_16_webserver.f,50000,1562.500MB,3100955,50789.647,3.9
5,adjustAPPEND_16_webserver.f,50000,1562.500MB,2629093,43783.157,4.3
5,adjustAPPEND_16_webserver.f,50000,1562.500MB,4099501,64735.549,4.0
5,adjustAPPEND_16_webserver.f,50000,1562.500MB,2917913,47438.525,5.6
5,adjustAPPEND_16_webserver.f,50000,1562.500MB,4378482,50167.080,5.4
6,adjustAPPEND_16_webserver.f,50000,3125.000MB,2708795,45127.974,5.9
6,adjustAPPEND_16_webserver.f,50000,3125.000MB,3075447,43636.804,6.2
6,adjustAPPEND_16_webserver.f,50000,3125.000MB,2338474,38960.071,6.0
6,adjustAPPEND_16_webserver.f,50000,3125.000MB,1804500,30065.205,5.1
6,adjustAPPEND_16_webserver.f,50000,3125.000MB,2747665,45774.036,5.9
7,adjustAPPEND_16_webserver.f,50000,6250.000MB,1169060,19476.308,12.9
7,adjustAPPEND_16_webserver.f,50000,6250.000MB,1283966,21391.439,12.2
7,adjustAPPEND_16_webserver.f,50000,6250.000MB,1343690,22387.317,10.3
7,adjustAPPEND_16_webserver.f,50000,6250.000MB,1403947,23390.920,11.2
7,adjustAPPEND_16_webserver.f,50000,6250.000MB,1591125,20771.309,9.7
0,adjustAPPEND_16_varmail.f,50000,48.828MB,64816,1080.112,48.0
0,adjustAPPEND_16_varmail.f,50000,48.828MB,59200,986.539,52.6
0,adjustAPPEND_16_varmail.f,50000,48.828MB,59408,989.993,52.3
0,adjustAPPEND_16_varmail.f,50000,48.828MB,56496,941.472,55.0
0,adjustAPPEND_16_varmail.f,50000,48.828MB,54386,906.315,57.2
1,adjustAPPEND_16_varmail.f,50000,97.656MB,57485,957.943,54.1
1,adjustAPPEND_16_varmail.f,50000,97.656MB,55584,926.266,56.0
1,adjustAPPEND_16_varmail.f,50000,97.656MB,55662,927.582,55.8
1,adjustAPPEND_16_varmail.f,50000,97.656MB,54752,912.409,56.8
1,adjustAPPEND_16_varmail.f,50000,97.656MB,32303,538.293,96.2
2,adjustAPPEND_16_varmail.f,50000,195.312MB,82976,1382.746,37.6
2,adjustAPPEND_16_varmail.f,50000,195.312MB,78935,1315.311,39.5
2,adjustAPPEND_16_varmail.f,50000,195.312MB,84095,1401.409,37.0
2,adjustAPPEND_16_varmail.f,50000,195.312MB,85616,1426.757,36.3
2,adjustAPPEND_16_varmail.f,50000,195.312MB,85120,1418.474,36.5
3,adjustAPPEND_16_varmail.f,50000,390.625MB,84511,1408.326,36.8
