05-16-2017_21-08-22
Run[#],TestType[test.f],Files[#],TotalSize[MB],TotalOps[#],Throughput[ops/s],Latency[ms/op]
0,adjustAPPEND_16_fileserver.f,50000,48.828MB,41788754,696437.946,0.1
0,adjustAPPEND_16_fileserver.f,50000,48.828MB,41420089,690286.968,0.1
0,adjustAPPEND_16_fileserver.f,50000,48.828MB,41751576,695817.944,0.1
0,adjustAPPEND_16_fileserver.f,50000,48.828MB,41430425,690465.425,0.1
0,adjustAPPEND_16_fileserver.f,50000,48.828MB,41835610,697218.810,0.1
1,adjustAPPEND_16_fileserver.f,50000,97.656MB,41400546,689965.046,0.1
1,adjustAPPEND_16_fileserver.f,50000,97.656MB,41225373,687045.579,0.1
1,adjustAPPEND_16_fileserver.f,50000,97.656MB,41502972,691673.005,0.1
1,adjustAPPEND_16_fileserver.f,50000,97.656MB,41606609,693401.174,0.1
1,adjustAPPEND_16_fileserver.f,50000,97.656MB,41413952,690191.352,0.1
2,adjustAPPEND_16_fileserver.f,50000,195.312MB,40812013,680156.732,0.1
2,adjustAPPEND_16_fileserver.f,50000,195.312MB,41056923,684241.828,0.1
2,adjustAPPEND_16_fileserver.f,50000,195.312MB,40695578,678217.844,0.1
2,adjustAPPEND_16_fileserver.f,50000,195.312MB,40936389,682231.295,0.1
2,adjustAPPEND_16_fileserver.f,50000,195.312MB,41033826,683855.624,0.1
3,adjustAPPEND_16_fileserver.f,50000,390.625MB,39458788,657604.665,0.1
3,adjustAPPEND_16_fileserver.f,50000,390.625MB,39219682,653622.727,0.1
3,adjustAPPEND_16_fileserver.f,50000,390.625MB,39318823,655270.720,0.1
3,adjustAPPEND_16_fileserver.f,50000,390.625MB,39088825,651441.504,0.1
3,adjustAPPEND_16_fileserver.f,50000,390.625MB,38918678,648548.421,0.1
4,adjustAPPEND_16_fileserver.f,50000,781.250MB,35888519,597497.154,0.1
4,adjustAPPEND_16_fileserver.f,50000,781.250MB,35731951,595494.266,0.1
4,adjustAPPEND_16_fileserver.f,50000,781.250MB,35884996,598045.998,0.1
4,adjustAPPEND_16_fileserver.f,50000,781.250MB,35048049,584099.172,0.1
4,adjustAPPEND_16_fileserver.f,50000,781.250MB,36116637,601908.177,0.1
5,adjustAPPEND_16_fileserver.f,50000,1562.500MB,9862296,164360.558,0.9
5,adjustAPPEND_16_fileserver.f,50000,1562.500MB,10025072,167072.412,0.9
5,adjustAPPEND_16_fileserver.f,50000,1562.500MB,9672985,161204.783,0.9
5,adjustAPPEND_16_fileserver.f,50000,1562.500MB,11322889,188701.595,0.8
5,adjustAPPEND_16_fileserver.f,50000,1562.500MB,10313701,171883.042,0.8
6,adjustAPPEND_16_fileserver.f,50000,3125.000MB,2377776,39626.467,3.7
6,adjustAPPEND_16_fileserver.f,50000,3125.000MB,2004502,33405.802,4.5
6,adjustAPPEND_16_fileserver.f,50000,3125.000MB,2313689,38558.608,3.8
6,adjustAPPEND_16_fileserver.f,50000,3125.000MB,2453546,40636.991,3.7
6,adjustAPPEND_16_fileserver.f,50000,3125.000MB,2414848,39942.057,3.7
7,adjustAPPEND_16_fileserver.f,50000,6250.000MB,423047,7050.250,21.5
7,adjustAPPEND_16_fileserver.f,50000,6250.000MB,408885,6814.143,21.6
7,adjustAPPEND_16_fileserver.f,50000,6250.000MB,380734,6345.012,21.9
7,adjustAPPEND_16_fileserver.f,50000,6250.000MB,383850,6396.960,21.9
7,adjustAPPEND_16_fileserver.f,50000,6250.000MB,413629,6893.280,21.1
0,adjustAPPEND_16_webserver.f,50000,48.828MB,46474597,774481.459,0.2
0,adjustAPPEND_16_webserver.f,50000,48.828MB,51397603,824858.541,0.2
0,adjustAPPEND_16_webserver.f,50000,48.828MB,47143791,743453.175,0.2
0,adjustAPPEND_16_webserver.f,50000,48.828MB,45939156,747309.150,0.2
0,adjustAPPEND_16_webserver.f,50000,48.828MB,51379282,831702.851,0.2
1,adjustAPPEND_16_webserver.f,50000,97.656MB,48393055,761173.687,0.2
1,adjustAPPEND_16_webserver.f,50000,97.656MB,49437172,823890.759,0.2
1,adjustAPPEND_16_webserver.f,50000,97.656MB,49708971,790485.440,0.2
1,adjustAPPEND_16_webserver.f,50000,97.656MB,50464628,836147.320,0.2
1,adjustAPPEND_16_webserver.f,50000,97.656MB,49379186,822925.468,0.2
2,adjustAPPEND_16_webserver.f,50000,195.312MB,46956328,754605.114,0.2
2,adjustAPPEND_16_webserver.f,50000,195.312MB,47916180,795364.052,0.2
2,adjustAPPEND_16_webserver.f,50000,195.312MB,50892149,809613.794,0.2
2,adjustAPPEND_16_webserver.f,50000,195.312MB,48683474,811334.886,0.2
2,adjustAPPEND_16_webserver.f,50000,195.312MB,47106537,752359.638,0.2
3,adjustAPPEND_16_webserver.f,50000,390.625MB,49443580,797201.252,0.2
3,adjustAPPEND_16_webserver.f,50000,390.625MB,49766228,787596.752,0.2
3,adjustAPPEND_16_webserver.f,50000,390.625MB,48093442,801491.791,0.2
3,adjustAPPEND_16_webserver.f,50000,390.625MB,48514991,808519.270,0.2
3,adjustAPPEND_16_webserver.f,50000,390.625MB,49553041,786418.621,0.2
4,adjustAPPEND_16_webserver.f,50000,781.250MB,46561224,775837.729,0.2
4,adjustAPPEND_16_webserver.f,50000,781.250MB,47229167,787092.007,0.2
4,adjustAPPEND_16_webserver.f,50000,781.250MB,48937351,784293.470,0.2
4,adjustAPPEND_16_webserver.f,50000,781.250MB,45714664,761857.381,0.2
4,adjustAPPEND_16_webserver.f,50000,781.250MB,47442379,757626.028,0.2
5,adjustAPPEND_16_webserver.f,50000,1562.500MB,40992965,683162.170,0.2
5,adjustAPPEND_16_webserver.f,50000,1562.500MB,40048534,644768.310,0.2
5,adjustAPPEND_16_webserver.f,50000,1562.500MB,38738263,645527.267,0.2
5,adjustAPPEND_16_webserver.f,50000,1562.500MB,39176870,652892.555,0.2
5,adjustAPPEND_16_webserver.f,50000,1562.500MB,38504430,641674.055,0.2
6,adjustAPPEND_16_webserver.f,50000,3125.000MB,22846910,380727.097,0.4
6,adjustAPPEND_16_webserver.f,50000,3125.000MB,22826852,380406.462,0.4
6,adjustAPPEND_16_webserver.f,50000,3125.000MB,23307374,388423.068,0.4
6,adjustAPPEND_16_webserver.f,50000,3125.000MB,23764675,396033.706,0.4
6,adjustAPPEND_16_webserver.f,50000,3125.000MB,23646417,392935.713,0.4
7,adjustAPPEND_16_webserver.f,50000,6250.000MB,12298380,204907.863,0.8
7,adjustAPPEND_16_webserver.f,50000,6250.000MB,11734550,195512.230,0.9
7,adjustAPPEND_16_webserver.f,50000,6250.000MB,11847706,197431.412,0.9
7,adjustAPPEND_16_webserver.f,50000,6250.000MB,12517245,208587.261,0.8
7,adjustAPPEND_16_webserver.f,50000,6250.000MB,12071228,201132.047,0.8
0,adjustAPPEND_16_varmail.f,50000,48.828MB,53787,896.350,57.9
0,adjustAPPEND_16_varmail.f,50000,48.828MB,66813,1113.419,46.6
0,adjustAPPEND_16_varmail.f,50000,48.828MB,62131,1035.391,50.1
0,adjustAPPEND_16_varmail.f,50000,48.828MB,61488,1024.677,50.6
0,adjustAPPEND_16_varmail.f,50000,48.828MB,54536,908.812,56.8
1,adjustAPPEND_16_varmail.f,50000,97.656MB,62536,1042.142,49.8
1,adjustAPPEND_16_varmail.f,50000,97.656MB,59233,987.089,52.6
1,adjustAPPEND_16_varmail.f,50000,97.656MB,54472,907.753,56.9
1,adjustAPPEND_16_varmail.f,50000,97.656MB,54163,902.609,57.5
1,adjustAPPEND_16_varmail.f,50000,97.656MB,57283,954.595,54.4
2,adjustAPPEND_16_varmail.f,50000,195.312MB,65427,1090.333,47.5
2,adjustAPPEND_16_varmail.f,50000,195.312MB,71883,1197.917,43.3
2,adjustAPPEND_16_varmail.f,50000,195.312MB,67089,1118.019,46.4
2,adjustAPPEND_16_varmail.f,50000,195.312MB,64393,1073.089,48.4
2,adjustAPPEND_16_varmail.f,50000,195.312MB,62529,1042.026,49.8
3,adjustAPPEND_16_varmail.f,50000,390.625MB,63955,1065.792,48.7
3,adjustAPPEND_16_varmail.f,50000,390.625MB,67297,1121.494,46.3
3,adjustAPPEND_16_varmail.f,50000,390.625MB,61928,1032.010,50.3
3,adjustAPPEND_16_varmail.f,50000,390.625MB,58697,978.157,53.0
3,adjustAPPEND_16_varmail.f,50000,390.625MB,70872,1181.072,43.9
4,adjustAPPEND_16_varmail.f,50000,781.250MB,62874,1047.771,49.5
4,adjustAPPEND_16_varmail.f,50000,781.250MB,66636,1110.473,46.7
4,adjustAPPEND_16_varmail.f,50000,781.250MB,64533,1075.423,48.3
4,adjustAPPEND_16_varmail.f,50000,781.250MB,69728,1162.006,44.7
4,adjustAPPEND_16_varmail.f,50000,781.250MB,62052,1034.074,50.2
5,adjustAPPEND_16_varmail.f,50000,1562.500MB,54787,912.996,56.8
5,adjustAPPEND_16_varmail.f,50000,1562.500MB,53792,896.414,57.8
5,adjustAPPEND_16_varmail.f,50000,1562.500MB,56080,934.549,55.5
5,adjustAPPEND_16_varmail.f,50000,1562.500MB,52697,878.148,59.1
5,adjustAPPEND_16_varmail.f,50000,1562.500MB,60032,1000.417,51.8
6,adjustAPPEND_16_varmail.f,50000,3125.000MB,39599,659.893,78.6
6,adjustAPPEND_16_varmail.f,50000,3125.000MB,45432,757.098,68.5
6,adjustAPPEND_16_varmail.f,50000,3125.000MB,39566,659.348,78.7
6,adjustAPPEND_16_varmail.f,50000,3125.000MB,42926,715.340,72.5
6,adjustAPPEND_16_varmail.f,50000,3125.000MB,48171,802.755,64.6
7,adjustAPPEND_16_varmail.f,50000,6250.000MB,41693,694.797,74.7
7,adjustAPPEND_16_varmail.f,50000,6250.000MB,51273,854.443,60.8
7,adjustAPPEND_16_varmail.f,50000,6250.000MB,48576,809.494,64.1
7,adjustAPPEND_16_varmail.f,50000,6250.000MB,44560,742.563,70.7
7,adjustAPPEND_16_varmail.f,50000,6250.000MB,43942,732.260,70.8
05-16-2017_23-26-06
