05-16-2017_16-45-58
Run[#],TestType[test.f],Files[#],TotalSize[MB],TotalOps[#],Throughput[ops/s],Latency[ms/op]
0,adjustAPPEND_16_fileserver.f,50000,48.828MB,40924941,682041.223,0.1
0,adjustAPPEND_16_fileserver.f,50000,48.828MB,41442650,690667.080,0.1
0,adjustAPPEND_16_fileserver.f,50000,48.828MB,41266719,687736.744,0.1
0,adjustAPPEND_16_fileserver.f,50000,48.828MB,41722851,695339.570,0.1
0,adjustAPPEND_16_fileserver.f,50000,48.828MB,41644730,694024.989,0.1
1,adjustAPPEND_16_fileserver.f,50000,97.656MB,41148201,685760.239,0.1
1,adjustAPPEND_16_fileserver.f,50000,97.656MB,41102672,685003.741,0.1
1,adjustAPPEND_16_fileserver.f,50000,97.656MB,41428925,690439.736,0.1
1,adjustAPPEND_16_fileserver.f,50000,97.656MB,41101410,684982.584,0.1
1,adjustAPPEND_16_fileserver.f,50000,97.656MB,41068794,684439.153,0.1
2,adjustAPPEND_16_fileserver.f,50000,195.312MB,39981813,666322.582,0.1
2,adjustAPPEND_16_fileserver.f,50000,195.312MB,41324689,688703.885,0.1
2,adjustAPPEND_16_fileserver.f,50000,195.312MB,40243235,670577.192,0.1
2,adjustAPPEND_16_fileserver.f,50000,195.312MB,40725470,678373.648,0.1
2,adjustAPPEND_16_fileserver.f,50000,195.312MB,41002587,683331.464,0.1
3,adjustAPPEND_16_fileserver.f,50000,390.625MB,39394116,656529.580,0.1
3,adjustAPPEND_16_fileserver.f,50000,390.625MB,39080553,651302.310,0.1
3,adjustAPPEND_16_fileserver.f,50000,390.625MB,39301036,654976.145,0.1
3,adjustAPPEND_16_fileserver.f,50000,390.625MB,39618710,660272.426,0.1
3,adjustAPPEND_16_fileserver.f,50000,390.625MB,38678588,644601.256,0.1
4,adjustAPPEND_16_fileserver.f,50000,781.250MB,36046085,599133.238,0.1
4,adjustAPPEND_16_fileserver.f,50000,781.250MB,35504234,591701.435,0.1
4,adjustAPPEND_16_fileserver.f,50000,781.250MB,35857386,597587.693,0.1
4,adjustAPPEND_16_fileserver.f,50000,781.250MB,35970740,599475.565,0.1
4,adjustAPPEND_16_fileserver.f,50000,781.250MB,35868716,597775.071,0.1
5,adjustAPPEND_16_fileserver.f,50000,1562.500MB,11030512,183828.806,0.8
5,adjustAPPEND_16_fileserver.f,50000,1562.500MB,10404811,173401.491,0.8
5,adjustAPPEND_16_fileserver.f,50000,1562.500MB,10887955,181453.427,0.8
5,adjustAPPEND_16_fileserver.f,50000,1562.500MB,9993535,166545.585,0.9
5,adjustAPPEND_16_fileserver.f,50000,1562.500MB,11558500,192625.444,0.7
6,adjustAPPEND_16_fileserver.f,50000,3125.000MB,2084356,34470.462,4.4
6,adjustAPPEND_16_fileserver.f,50000,3125.000MB,1736590,28940.960,5.1
6,adjustAPPEND_16_fileserver.f,50000,3125.000MB,1749664,28930.513,5.2
6,adjustAPPEND_16_fileserver.f,50000,3125.000MB,2062963,34379.825,4.3
6,adjustAPPEND_16_fileserver.f,50000,3125.000MB,1848559,30807.005,4.8
7,adjustAPPEND_16_fileserver.f,50000,6250.000MB,390567,6508.874,22.2
7,adjustAPPEND_16_fileserver.f,50000,6250.000MB,357212,5953.017,23.4
7,adjustAPPEND_16_fileserver.f,50000,6250.000MB,358298,5971.099,23.8
7,adjustAPPEND_16_fileserver.f,50000,6250.000MB,358750,5978.653,23.0
7,adjustAPPEND_16_fileserver.f,50000,6250.000MB,347486,5790.929,24.3
0,adjustAPPEND_16_webserver.f,50000,48.828MB,44890631,748005.292,0.2
0,adjustAPPEND_16_webserver.f,50000,48.828MB,44551161,742465.261,0.2
0,adjustAPPEND_16_webserver.f,50000,48.828MB,44516889,741894.363,0.2
0,adjustAPPEND_16_webserver.f,50000,48.828MB,44438940,740595.578,0.2
0,adjustAPPEND_16_webserver.f,50000,48.828MB,44662097,744316.975,0.2
1,adjustAPPEND_16_webserver.f,50000,97.656MB,37982919,632993.643,0.3
1,adjustAPPEND_16_webserver.f,50000,97.656MB,34450627,574126.527,0.4
1,adjustAPPEND_16_webserver.f,50000,97.656MB,35445268,590699.591,0.3
1,adjustAPPEND_16_webserver.f,50000,97.656MB,32103502,535008.361,0.4
1,adjustAPPEND_16_webserver.f,50000,97.656MB,32739585,545608.099,0.4
2,adjustAPPEND_16_webserver.f,50000,195.312MB,33169446,552676.443,0.4
2,adjustAPPEND_16_webserver.f,50000,195.312MB,34796291,579793.457,0.3
2,adjustAPPEND_16_webserver.f,50000,195.312MB,32785247,546365.009,0.4
2,adjustAPPEND_16_webserver.f,50000,195.312MB,34506017,575047.484,0.4
2,adjustAPPEND_16_webserver.f,50000,195.312MB,34413423,573503.599,0.4
3,adjustAPPEND_16_webserver.f,50000,390.625MB,32690885,544796.191,0.4
3,adjustAPPEND_16_webserver.f,50000,390.625MB,32913539,548509.499,0.4
3,adjustAPPEND_16_webserver.f,50000,390.625MB,32726096,545381.077,0.4
3,adjustAPPEND_16_webserver.f,50000,390.625MB,31753645,529174.182,0.4
3,adjustAPPEND_16_webserver.f,50000,390.625MB,41398424,689890.935,0.2
4,adjustAPPEND_16_webserver.f,50000,781.250MB,39593185,655951.571,0.2
4,adjustAPPEND_16_webserver.f,50000,781.250MB,41302453,688322.202,0.2
4,adjustAPPEND_16_webserver.f,50000,781.250MB,40707358,678403.628,0.2
4,adjustAPPEND_16_webserver.f,50000,781.250MB,39437934,657228.149,0.2
4,adjustAPPEND_16_webserver.f,50000,781.250MB,40127435,668734.242,0.2
5,adjustAPPEND_16_webserver.f,50000,1562.500MB,34382727,572995.342,0.2
5,adjustAPPEND_16_webserver.f,50000,1562.500MB,31886383,531313.140,0.3
5,adjustAPPEND_16_webserver.f,50000,1562.500MB,32819849,546762.795,0.2
5,adjustAPPEND_16_webserver.f,50000,1562.500MB,33951299,565761.963,0.2
5,adjustAPPEND_16_webserver.f,50000,1562.500MB,32044975,533975.730,0.3
6,adjustAPPEND_16_webserver.f,50000,3125.000MB,21561227,359317.498,0.4
6,adjustAPPEND_16_webserver.f,50000,3125.000MB,20561045,342645.627,0.5
6,adjustAPPEND_16_webserver.f,50000,3125.000MB,22460898,374309.241,0.4
6,adjustAPPEND_16_webserver.f,50000,3125.000MB,18458426,307302.948,0.5
6,adjustAPPEND_16_webserver.f,50000,3125.000MB,18372687,306180.046,0.6
7,adjustAPPEND_16_webserver.f,50000,6250.000MB,10340296,172304.931,1.1
7,adjustAPPEND_16_webserver.f,50000,6250.000MB,10382347,173013.404,1.1
7,adjustAPPEND_16_webserver.f,50000,6250.000MB,10956768,182536.433,1.0
7,adjustAPPEND_16_webserver.f,50000,6250.000MB,10522035,175329.396,1.1
7,adjustAPPEND_16_webserver.f,50000,6250.000MB,10980043,182974.740,1.0
0,adjustAPPEND_16_varmail.f,50000,48.828MB,53940,898.887,57.7
0,adjustAPPEND_16_varmail.f,50000,48.828MB,57128,952.006,54.4
0,adjustAPPEND_16_varmail.f,50000,48.828MB,65232,1087.086,47.7
0,adjustAPPEND_16_varmail.f,50000,48.828MB,57376,956.146,54.2
0,adjustAPPEND_16_varmail.f,50000,48.828MB,63984,1066.283,48.7
1,adjustAPPEND_16_varmail.f,50000,97.656MB,57328,955.332,54.3
1,adjustAPPEND_16_varmail.f,50000,97.656MB,55762,929.242,55.9
1,adjustAPPEND_16_varmail.f,50000,97.656MB,56030,933.716,55.5
1,adjustAPPEND_16_varmail.f,50000,97.656MB,56080,934.548,55.5
1,adjustAPPEND_16_varmail.f,50000,97.656MB,58095,968.131,53.6
2,adjustAPPEND_16_varmail.f,50000,195.312MB,72016,1200.139,43.2
2,adjustAPPEND_16_varmail.f,50000,195.312MB,68733,1145.413,45.2
2,adjustAPPEND_16_varmail.f,50000,195.312MB,65152,1085.722,47.8
2,adjustAPPEND_16_varmail.f,50000,195.312MB,54624,910.279,57.0
2,adjustAPPEND_16_varmail.f,50000,195.312MB,61022,1016.900,51.0
3,adjustAPPEND_16_varmail.f,50000,390.625MB,65117,1085.148,47.8
3,adjustAPPEND_16_varmail.f,50000,390.625MB,60368,1006.002,51.6
3,adjustAPPEND_16_varmail.f,50000,390.625MB,65464,1090.938,47.5
3,adjustAPPEND_16_varmail.f,50000,390.625MB,59744,995.612,52.1
3,adjustAPPEND_16_varmail.f,50000,390.625MB,64016,1066.806,48.6
4,adjustAPPEND_16_varmail.f,50000,781.250MB,65872,1097.743,47.2
4,adjustAPPEND_16_varmail.f,50000,781.250MB,63360,1055.876,49.1
4,adjustAPPEND_16_varmail.f,50000,781.250MB,70432,1173.742,44.2
4,adjustAPPEND_16_varmail.f,50000,781.250MB,66207,1103.326,47.0
4,adjustAPPEND_16_varmail.f,50000,781.250MB,59952,999.073,52.0
5,adjustAPPEND_16_varmail.f,50000,1562.500MB,62037,1033.829,50.2
5,adjustAPPEND_16_varmail.f,50000,1562.500MB,54736,912.151,56.9
5,adjustAPPEND_16_varmail.f,50000,1562.500MB,53016,883.445,58.7
5,adjustAPPEND_16_varmail.f,50000,1562.500MB,53168,886.018,58.5
5,adjustAPPEND_16_varmail.f,50000,1562.500MB,59252,987.405,52.5
6,adjustAPPEND_16_varmail.f,50000,3125.000MB,50602,843.259,61.5
6,adjustAPPEND_16_varmail.f,50000,3125.000MB,44833,747.120,69.4
6,adjustAPPEND_16_varmail.f,50000,3125.000MB,40243,670.631,77.4
6,adjustAPPEND_16_varmail.f,50000,3125.000MB,41600,693.240,74.9
6,adjustAPPEND_16_varmail.f,50000,3125.000MB,41432,690.443,75.2
7,adjustAPPEND_16_varmail.f,50000,6250.000MB,42052,700.761,73.8
7,adjustAPPEND_16_varmail.f,50000,6250.000MB,48096,801.517,64.7
7,adjustAPPEND_16_varmail.f,50000,6250.000MB,40063,667.629,77.7
7,adjustAPPEND_16_varmail.f,50000,6250.000MB,42352,705.772,73.4
7,adjustAPPEND_16_varmail.f,50000,6250.000MB,46304,771.633,67.2
05-16-2017_19-03-29
