05-17-2017_16-16-55
Run[#],TestType[test.f],Files[#],TotalSize[MB],TotalOps[#],Throughput[ops/s],Latency[ms/op]
0,adjustAPPEND_16_fileserver.f,50000,48.828MB,40628920,677106.359,0.1
0,adjustAPPEND_16_fileserver.f,50000,48.828MB,41147231,685745.501,0.1
0,adjustAPPEND_16_fileserver.f,50000,48.828MB,41881532,697983.794,0.1
0,adjustAPPEND_16_fileserver.f,50000,48.828MB,41335238,688876.672,0.1
0,adjustAPPEND_16_fileserver.f,50000,48.828MB,41743535,695684.596,0.1
1,adjustAPPEND_16_fileserver.f,50000,97.656MB,41269494,687783.530,0.1
1,adjustAPPEND_16_fileserver.f,50000,97.656MB,41632684,692227.209,0.1
1,adjustAPPEND_16_fileserver.f,50000,97.656MB,41482128,691319.486,0.1
1,adjustAPPEND_16_fileserver.f,50000,97.656MB,41429924,690457.789,0.1
1,adjustAPPEND_16_fileserver.f,50000,97.656MB,41292696,688169.186,0.1
2,adjustAPPEND_16_fileserver.f,50000,195.312MB,40575472,676214.071,0.1
2,adjustAPPEND_16_fileserver.f,50000,195.312MB,40309266,671780.681,0.1
2,adjustAPPEND_16_fileserver.f,50000,195.312MB,41152509,685834.080,0.1
2,adjustAPPEND_16_fileserver.f,50000,195.312MB,41473650,691184.704,0.1
2,adjustAPPEND_16_fileserver.f,50000,195.312MB,41583968,693022.750,0.1
3,adjustAPPEND_16_fileserver.f,50000,390.625MB,39570597,659469.645,0.1
3,adjustAPPEND_16_fileserver.f,50000,390.625MB,38584691,643035.186,0.1
3,adjustAPPEND_16_fileserver.f,50000,390.625MB,39519438,658001.974,0.1
3,adjustAPPEND_16_fileserver.f,50000,390.625MB,39141679,652321.786,0.1
3,adjustAPPEND_16_fileserver.f,50000,390.625MB,39364864,656042.131,0.1
4,adjustAPPEND_16_fileserver.f,50000,781.250MB,35468380,591104.151,0.1
4,adjustAPPEND_16_fileserver.f,50000,781.250MB,36201983,603330.767,0.1
4,adjustAPPEND_16_fileserver.f,50000,781.250MB,36048426,599115.179,0.1
4,adjustAPPEND_16_fileserver.f,50000,781.250MB,36246145,604063.938,0.1
4,adjustAPPEND_16_fileserver.f,50000,781.250MB,35706963,595078.074,0.1
5,adjustAPPEND_16_fileserver.f,50000,1562.500MB,9308172,155124.941,0.9
5,adjustAPPEND_16_fileserver.f,50000,1562.500MB,9502805,158369.306,0.9
5,adjustAPPEND_16_fileserver.f,50000,1562.500MB,9884183,163867.924,0.9
5,adjustAPPEND_16_fileserver.f,50000,1562.500MB,10864373,181059.032,0.8
5,adjustAPPEND_16_fileserver.f,50000,1562.500MB,10391002,173171.291,0.8
6,adjustAPPEND_16_fileserver.f,50000,3125.000MB,1761951,29363.514,5.0
6,adjustAPPEND_16_fileserver.f,50000,3125.000MB,1999852,33328.411,4.5
6,adjustAPPEND_16_fileserver.f,50000,3125.000MB,2135720,35592.641,4.2
6,adjustAPPEND_16_fileserver.f,50000,3125.000MB,1965333,32753.014,4.5
6,adjustAPPEND_16_fileserver.f,50000,3125.000MB,1714506,28573.161,5.2
7,adjustAPPEND_16_fileserver.f,50000,6250.000MB,312089,5201.096,28.1
7,adjustAPPEND_16_fileserver.f,50000,6250.000MB,418200,6969.434,21.5
7,adjustAPPEND_16_fileserver.f,50000,6250.000MB,378966,6315.570,23.0
7,adjustAPPEND_16_fileserver.f,50000,6250.000MB,387636,6460.143,23.2
7,adjustAPPEND_16_fileserver.f,50000,6250.000MB,398931,6648.312,22.3
0,adjustAPPEND_16_webserver.f,50000,48.828MB,47565494,792662.784,0.2
0,adjustAPPEND_16_webserver.f,50000,48.828MB,46208959,769948.565,0.2
0,adjustAPPEND_16_webserver.f,50000,48.828MB,47149872,785775.161,0.2
0,adjustAPPEND_16_webserver.f,50000,48.828MB,45915167,765204.397,0.2
0,adjustAPPEND_16_webserver.f,50000,48.828MB,46602510,776658.548,0.2
1,adjustAPPEND_16_webserver.f,50000,97.656MB,46021562,766974.633,0.2
1,adjustAPPEND_16_webserver.f,50000,97.656MB,46829260,780436.717,0.2
1,adjustAPPEND_16_webserver.f,50000,97.656MB,44421977,740317.953,0.2
1,adjustAPPEND_16_webserver.f,50000,97.656MB,45801800,763313.298,0.2
1,adjustAPPEND_16_webserver.f,50000,97.656MB,45793513,763176.488,0.2
2,adjustAPPEND_16_webserver.f,50000,195.312MB,46336341,772078.327,0.2
2,adjustAPPEND_16_webserver.f,50000,195.312MB,45750225,762453.924,0.2
2,adjustAPPEND_16_webserver.f,50000,195.312MB,45359242,755934.943,0.2
2,adjustAPPEND_16_webserver.f,50000,195.312MB,44883713,748011.006,0.2
2,adjustAPPEND_16_webserver.f,50000,195.312MB,46112876,768499.672,0.2
3,adjustAPPEND_16_webserver.f,50000,390.625MB,44773148,746158.496,0.2
3,adjustAPPEND_16_webserver.f,50000,390.625MB,44240573,737292.084,0.2
3,adjustAPPEND_16_webserver.f,50000,390.625MB,45407768,756741.522,0.2
3,adjustAPPEND_16_webserver.f,50000,390.625MB,43918729,731909.383,0.2
3,adjustAPPEND_16_webserver.f,50000,390.625MB,44154617,735831.132,0.2
4,adjustAPPEND_16_webserver.f,50000,781.250MB,43371089,722768.196,0.2
4,adjustAPPEND_16_webserver.f,50000,781.250MB,43901541,731624.504,0.2
4,adjustAPPEND_16_webserver.f,50000,781.250MB,43707737,728401.656,0.2
4,adjustAPPEND_16_webserver.f,50000,781.250MB,44753283,745830.584,0.2
4,adjustAPPEND_16_webserver.f,50000,781.250MB,44144511,735684.209,0.2
5,adjustAPPEND_16_webserver.f,50000,1562.500MB,39883784,664682.264,0.2
5,adjustAPPEND_16_webserver.f,50000,1562.500MB,38840264,647283.836,0.2
5,adjustAPPEND_16_webserver.f,50000,1562.500MB,40470062,674438.861,0.2
5,adjustAPPEND_16_webserver.f,50000,1562.500MB,39578851,659472.745,0.2
5,adjustAPPEND_16_webserver.f,50000,1562.500MB,39921376,665055.905,0.2
6,adjustAPPEND_16_webserver.f,50000,3125.000MB,23818360,396942.724,0.3
6,adjustAPPEND_16_webserver.f,50000,3125.000MB,24176206,402883.834,0.3
6,adjustAPPEND_16_webserver.f,50000,3125.000MB,24340481,405641.468,0.3
6,adjustAPPEND_16_webserver.f,50000,3125.000MB,24022423,400321.668,0.3
6,adjustAPPEND_16_webserver.f,50000,3125.000MB,23907991,398380.201,0.3
7,adjustAPPEND_16_webserver.f,50000,6250.000MB,12511029,208472.756,0.8
7,adjustAPPEND_16_webserver.f,50000,6250.000MB,12699234,211614.762,0.8
7,adjustAPPEND_16_webserver.f,50000,6250.000MB,13189606,219780.609,0.7
7,adjustAPPEND_16_webserver.f,50000,6250.000MB,12989478,216415.987,0.8
7,adjustAPPEND_16_webserver.f,50000,6250.000MB,12660619,210951.879,0.8
0,adjustAPPEND_16_varmail.f,50000,48.828MB,58414,973.465,53.3
0,adjustAPPEND_16_varmail.f,50000,48.828MB,59318,988.532,52.5
0,adjustAPPEND_16_varmail.f,50000,48.828MB,57300,954.904,54.4
0,adjustAPPEND_16_varmail.f,50000,48.828MB,61839,1030.534,50.4
0,adjustAPPEND_16_varmail.f,50000,48.828MB,57032,950.438,54.6
1,adjustAPPEND_16_varmail.f,50000,97.656MB,60688,1011.367,51.3
1,adjustAPPEND_16_varmail.f,50000,97.656MB,62573,1042.775,49.7
1,adjustAPPEND_16_varmail.f,50000,97.656MB,62162,1035.925,50.1
1,adjustAPPEND_16_varmail.f,50000,97.656MB,59936,998.835,52.0
1,adjustAPPEND_16_varmail.f,50000,97.656MB,56133,935.447,55.4
2,adjustAPPEND_16_varmail.f,50000,195.312MB,62235,1037.144,50.0
2,adjustAPPEND_16_varmail.f,50000,195.312MB,65102,1084.924,47.9
2,adjustAPPEND_16_varmail.f,50000,195.312MB,65479,1091.202,47.5
2,adjustAPPEND_16_varmail.f,50000,195.312MB,62606,1043.326,49.8
2,adjustAPPEND_16_varmail.f,50000,195.312MB,60000,999.897,51.9
3,adjustAPPEND_16_varmail.f,50000,390.625MB,63398,1056.521,49.1
3,adjustAPPEND_16_varmail.f,50000,390.625MB,58575,976.144,53.2
3,adjustAPPEND_16_varmail.f,50000,390.625MB,61050,1017.388,51.0
3,adjustAPPEND_16_varmail.f,50000,390.625MB,64243,1070.606,48.5
3,adjustAPPEND_16_varmail.f,50000,390.625MB,60611,1010.081,51.4
4,adjustAPPEND_16_varmail.f,50000,781.250MB,57908,965.039,53.8
4,adjustAPPEND_16_varmail.f,50000,781.250MB,56283,937.951,55.4
4,adjustAPPEND_16_varmail.f,50000,781.250MB,61801,1029.913,50.4
4,adjustAPPEND_16_varmail.f,50000,781.250MB,62496,1041.504,49.8
4,adjustAPPEND_16_varmail.f,50000,781.250MB,55924,931.976,55.7
5,adjustAPPEND_16_varmail.f,50000,1562.500MB,55302,921.599,56.3
5,adjustAPPEND_16_varmail.f,50000,1562.500MB,52890,881.409,58.9
5,adjustAPPEND_16_varmail.f,50000,1562.500MB,53743,895.617,57.9
5,adjustAPPEND_16_varmail.f,50000,1562.500MB,49487,824.695,62.9
5,adjustAPPEND_16_varmail.f,50000,1562.500MB,54229,903.720,57.4
6,adjustAPPEND_16_varmail.f,50000,3125.000MB,39029,650.412,79.8
6,adjustAPPEND_16_varmail.f,50000,3125.000MB,34965,582.685,89.1
6,adjustAPPEND_16_varmail.f,50000,3125.000MB,35860,597.599,86.9
6,adjustAPPEND_16_varmail.f,50000,3125.000MB,33947,565.719,91.7
