06-03-2017_14-05-18
Run[#],TestType[test.f],Files[#],TotalSize[MB],TotalOps[#],Throughput[ops/s],Latency[ms/op]
0,adjust_fileserver.f,50000,48.828MB,100134,1662.425,90.1
0,adjust_fileserver.f,50000,48.828MB,101931,1682.175,88.9
0,adjust_fileserver.f,50000,48.828MB,104194,1731.541,85.9
0,adjust_fileserver.f,50000,48.828MB,99820,1659.643,90.2
0,adjust_fileserver.f,50000,48.828MB,115600,1920.324,77.8
1,adjust_fileserver.f,50000,97.656MB,121674,2020.640,73.9
1,adjust_fileserver.f,50000,97.656MB,119903,1997.963,75.0
1,adjust_fileserver.f,50000,97.656MB,116857,1939.159,77.1
1,adjust_fileserver.f,50000,97.656MB,131193,2171.879,68.8
1,adjust_fileserver.f,50000,97.656MB,124838,2058.732,72.9
2,adjust_fileserver.f,50000,195.312MB,202524,3280.779,45.7
2,adjust_fileserver.f,50000,195.312MB,195603,3230.838,46.3
2,adjust_fileserver.f,50000,195.312MB,188014,3123.729,48.0
2,adjust_fileserver.f,50000,195.312MB,187359,3032.186,49.5
2,adjust_fileserver.f,50000,195.312MB,188221,3093.616,48.4
3,adjust_fileserver.f,50000,390.625MB,142433,2359.641,63.5
3,adjust_fileserver.f,50000,390.625MB,138436,2296.470,65.3
3,adjust_fileserver.f,50000,390.625MB,161047,2665.252,56.1
3,adjust_fileserver.f,50000,390.625MB,143931,2386.873,62.8
3,adjust_fileserver.f,50000,390.625MB,132805,2202.216,68.1
4,adjust_fileserver.f,50000,781.250MB,120785,1998.157,74.8
4,adjust_fileserver.f,50000,781.250MB,128592,2121.703,70.5
4,adjust_fileserver.f,50000,781.250MB,125347,2048.296,73.2
4,adjust_fileserver.f,50000,781.250MB,130742,2127.247,70.5
4,adjust_fileserver.f,50000,781.250MB,125935,2075.051,72.0
5,adjust_fileserver.f,50000,1562.500MB,120958,2004.067,74.7
5,adjust_fileserver.f,50000,1562.500MB,138789,2184.006,68.6
5,adjust_fileserver.f,50000,1562.500MB,135745,2226.963,67.0
5,adjust_fileserver.f,50000,1562.500MB,132159,2193.001,68.4
5,adjust_fileserver.f,50000,1562.500MB,132049,2194.132,68.1
6,adjust_fileserver.f,50000,3125.000MB,112441,1873.875,78.7
6,adjust_fileserver.f,50000,3125.000MB,103641,1727.215,86.2
6,adjust_fileserver.f,50000,3125.000MB,112213,1870.069,79.7
6,adjust_fileserver.f,50000,3125.000MB,101513,1691.746,88.2
6,adjust_fileserver.f,50000,3125.000MB,107323,1788.557,83.5
7,adjust_fileserver.f,50000,6250.000MB,80548,1342.362,110.5
7,adjust_fileserver.f,50000,6250.000MB,78568,1309.361,114.1
7,adjust_fileserver.f,50000,6250.000MB,79191,1319.745,113.5
7,adjust_fileserver.f,50000,6250.000MB,79045,1317.290,113.3
7,adjust_fileserver.f,50000,6250.000MB,78874,1314.462,113.6
0,adjust_webserver.f,50000,48.828MB,50798,838.731,280.2
0,adjust_webserver.f,50000,48.828MB,46864,540.515,405.3
0,adjust_webserver.f,50000,48.828MB,94233,1211.480,208.7
0,adjust_webserver.f,50000,48.828MB,63790,791.061,295.7
0,adjust_webserver.f,50000,48.828MB,60816,999.517,250.1
1,adjust_webserver.f,50000,97.656MB,60325,987.100,252.4
1,adjust_webserver.f,50000,97.656MB,70107,1155.797,218.5
1,adjust_webserver.f,50000,97.656MB,54626,869.135,260.2
1,adjust_webserver.f,50000,97.656MB,72434,1173.508,178.2
1,adjust_webserver.f,50000,97.656MB,90591,1180.591,206.6
2,adjust_webserver.f,50000,195.312MB,55109,907.292,272.3
2,adjust_webserver.f,50000,195.312MB,65516,1066.719,228.5
2,adjust_webserver.f,50000,195.312MB,55641,907.529,254.2
2,adjust_webserver.f,50000,195.312MB,59072,943.031,244.5
2,adjust_webserver.f,50000,195.312MB,66252,1008.433,232.3
3,adjust_webserver.f,50000,390.625MB,37989,625.960,361.9
3,adjust_webserver.f,50000,390.625MB,50928,811.284,304.1
3,adjust_webserver.f,50000,390.625MB,29311,460.420,421.2
3,adjust_webserver.f,50000,390.625MB,33934,554.807,379.0
3,adjust_webserver.f,50000,390.625MB,40293,663.038,330.0
4,adjust_webserver.f,50000,781.250MB,29558,475.841,473.0
4,adjust_webserver.f,50000,781.250MB,44604,727.033,332.9
4,adjust_webserver.f,50000,781.250MB,38092,584.985,410.3
4,adjust_webserver.f,50000,781.250MB,30279,500.398,446.6
4,adjust_webserver.f,50000,781.250MB,34136,564.141,349.9
5,adjust_webserver.f,50000,1562.500MB,40392,484.383,476.6
5,adjust_webserver.f,50000,1562.500MB,26642,437.104,471.0
5,adjust_webserver.f,50000,1562.500MB,42121,609.374,409.7
5,adjust_webserver.f,50000,1562.500MB,31118,512.985,468.1
5,adjust_webserver.f,50000,1562.500MB,20274,336.470,654.8
6,adjust_webserver.f,50000,3125.000MB,25396,391.324,589.1
6,adjust_webserver.f,50000,3125.000MB,20948,345.683,610.3
6,adjust_webserver.f,50000,3125.000MB,34841,574.693,458.3
6,adjust_webserver.f,50000,3125.000MB,22679,361.136,657.0
6,adjust_webserver.f,50000,3125.000MB,22801,373.327,560.1
7,adjust_webserver.f,50000,6250.000MB,20037,304.059,730.5
7,adjust_webserver.f,50000,6250.000MB,21038,343.034,689.9
7,adjust_webserver.f,50000,6250.000MB,18518,306.369,701.7
7,adjust_webserver.f,50000,6250.000MB,20413,271.905,870.7
7,adjust_webserver.f,50000,6250.000MB,15867,205.496,1113.0
0,adjust_varmail.f,50000,48.828MB,60864,1014.292,51.1
0,adjust_varmail.f,50000,48.828MB,58368,972.694,53.3
0,adjust_varmail.f,50000,48.828MB,62736,1045.493,49.7
0,adjust_varmail.f,50000,48.828MB,57531,958.750,54.1
0,adjust_varmail.f,50000,48.828MB,61067,1017.672,51.0
1,adjust_varmail.f,50000,97.656MB,58337,972.179,53.4
1,adjust_varmail.f,50000,97.656MB,60620,1010.227,51.4
1,adjust_varmail.f,50000,97.656MB,56552,942.433,55.1
1,adjust_varmail.f,50000,97.656MB,55604,926.632,56.0
1,adjust_varmail.f,50000,97.656MB,55736,928.833,55.9
2,adjust_varmail.f,50000,195.312MB,74627,1243.631,41.7
2,adjust_varmail.f,50000,195.312MB,74403,1239.904,41.9
2,adjust_varmail.f,50000,195.312MB,83511,1391.697,37.3
2,adjust_varmail.f,50000,195.312MB,82559,1375.817,37.7
2,adjust_varmail.f,50000,195.312MB,86002,1433.204,36.2
3,adjust_varmail.f,50000,390.625MB,75538,1258.815,41.3
3,adjust_varmail.f,50000,390.625MB,76436,1273.786,40.8
3,adjust_varmail.f,50000,390.625MB,73132,1218.725,42.6
3,adjust_varmail.f,50000,390.625MB,76784,1279.575,40.6
3,adjust_varmail.f,50000,390.625MB,78336,1305.440,39.7
4,adjust_varmail.f,50000,781.250MB,54118,901.865,57.6
4,adjust_varmail.f,50000,781.250MB,50112,835.105,62.1
4,adjust_varmail.f,50000,781.250MB,49800,829.905,62.5
4,adjust_varmail.f,50000,781.250MB,51048,850.693,61.0
4,adjust_varmail.f,50000,781.250MB,51404,856.630,60.6
5,adjust_varmail.f,50000,1562.500MB,50240,837.232,62.1
