06-06-2017_12-09-48
Run[#],TestType[test.f],Files[#],TotalSize[MB],TotalOps[#],Throughput[ops/s],Latency[ms/op]
0,adjust_varmail.f,50000,48.828MB,13251,218.695,183.5
0,adjust_varmail.f,50000,48.828MB,34307,571.038,86.7
0,adjust_varmail.f,50000,48.828MB,54216,903.417,57.3
0,adjust_varmail.f,50000,48.828MB,51642,860.542,60.2
0,adjust_varmail.f,50000,48.828MB,49322,821.884,63.2
1,adjust_varmail.f,50000,97.656MB,42229,703.665,73.6
1,adjust_varmail.f,50000,97.656MB,50752,845.591,61.2
1,adjust_varmail.f,50000,97.656MB,55680,927.839,55.8
1,adjust_varmail.f,50000,97.656MB,50988,849.530,61.1
1,adjust_varmail.f,50000,97.656MB,52742,878.366,59.0
2,adjust_varmail.f,50000,195.312MB,51669,860.787,60.0
2,adjust_varmail.f,50000,195.312MB,56867,947.229,54.6
2,adjust_varmail.f,50000,195.312MB,49965,831.918,62.2
2,adjust_varmail.f,50000,195.312MB,55092,917.878,56.4
2,adjust_varmail.f,50000,195.312MB,62845,1047.039,49.4
3,adjust_varmail.f,50000,390.625MB,34818,579.558,85.5
3,adjust_varmail.f,50000,390.625MB,40678,677.817,74.0
3,adjust_varmail.f,50000,390.625MB,38372,634.117,75.9
3,adjust_varmail.f,50000,390.625MB,33298,554.324,89.0
3,adjust_varmail.f,50000,390.625MB,36600,609.309,83.9
4,adjust_varmail.f,50000,781.250MB,27270,454.357,113.7
4,adjust_varmail.f,50000,781.250MB,32546,542.079,95.7
4,adjust_varmail.f,50000,781.250MB,37776,629.403,82.4
4,adjust_varmail.f,50000,781.250MB,37493,624.689,82.9
4,adjust_varmail.f,50000,781.250MB,36922,615.234,84.2
5,adjust_varmail.f,50000,1562.500MB,23831,397.068,130.5
5,adjust_varmail.f,50000,1562.500MB,32576,542.834,95.3
5,adjust_varmail.f,50000,1562.500MB,33085,551.288,94.2
5,adjust_varmail.f,50000,1562.500MB,33200,553.236,93.7
5,adjust_varmail.f,50000,1562.500MB,35669,594.412,87.3
6,adjust_varmail.f,50000,3125.000MB,21379,356.235,145.6
6,adjust_varmail.f,50000,3125.000MB,22144,368.949,140.8
6,adjust_varmail.f,50000,3125.000MB,24057,400.870,129.1
6,adjust_varmail.f,50000,3125.000MB,23524,391.990,132.2
6,adjust_varmail.f,50000,3125.000MB,23917,398.544,130.5
7,adjust_varmail.f,50000,6250.000MB,21559,359.258,144.1
7,adjust_varmail.f,50000,6250.000MB,20050,333.816,155.2
7,adjust_varmail.f,50000,6250.000MB,20109,335.072,154.1
7,adjust_varmail.f,50000,6250.000MB,22286,371.363,139.8
7,adjust_varmail.f,50000,6250.000MB,21910,365.095,141.9
06-06-2017_13-07-29
