06-06-2017_16-08-21
Run[#],TestType[test.f],Files[#],TotalSize[MB],TotalOps[#],Throughput[ops/s],Latency[ms/op]
0,adjust_webserver.f,50000,48.828MB,1582,15.428,4001.7
0,adjust_webserver.f,50000,48.828MB,0,0.000,0.0
0,adjust_webserver.f,50000,48.828MB,672,6.900,1792.0
0,adjust_webserver.f,50000,48.828MB,1753,27.032,125.4
0,adjust_webserver.f,50000,48.828MB,169,2.577,2487.8
1,adjust_webserver.f,50000,97.656MB,204,3.024,1244.4
1,adjust_webserver.f,50000,97.656MB,193,2.847,866.2
1,adjust_webserver.f,50000,97.656MB,241,3.497,1599.5
1,adjust_webserver.f,50000,97.656MB,231,3.178,2419.1
1,adjust_webserver.f,50000,97.656MB,178,2.628,1792.5
2,adjust_webserver.f,50000,195.312MB,3,0.043,48861.4
2,adjust_webserver.f,50000,195.312MB,227,3.217,2080.6
2,adjust_webserver.f,50000,195.312MB,250,3.796,1557.4
2,adjust_webserver.f,50000,195.312MB,189,2.948,1207.5
2,adjust_webserver.f,50000,195.312MB,257,3.860,1013.4
3,adjust_webserver.f,50000,390.625MB,822,11.833,661.1
3,adjust_webserver.f,50000,390.625MB,43,0.591,1932.5
3,adjust_webserver.f,50000,390.625MB,54,0.549,8107.2
3,adjust_webserver.f,50000,390.625MB,1,0.013,0.0
3,adjust_webserver.f,50000,390.625MB,2,0.027,21141.1
4,adjust_webserver.f,50000,781.250MB,49,0.663,2245.9
4,adjust_webserver.f,50000,781.250MB,69,0.870,4435.0
4,adjust_webserver.f,50000,781.250MB,20,0.289,5765.6
4,adjust_webserver.f,50000,781.250MB,69,0.933,4848.3
4,adjust_webserver.f,50000,781.250MB,9,0.108,2562.1
