Run[#],TestType[test.f],Files[#],TotalSize[MB],TotalOps[#],Throughput[ops/s],Latency[ms/op]
0,def_fileserver.f,50000,48.828MB,54478036,907908.343,0.0
1,def_fileserver.f,50000,97.656MB,54963027,915990.712,0.0
2,def_fileserver.f,50000,195.312MB,54039523,900575.684,0.0
3,def_fileserver.f,50000,390.625MB,51009603,850102.512,0.1
4,def_fileserver.f,50000,781.250MB,46716864,778559.875,0.1
5,def_fileserver.f,50000,1562.500MB,38314683,638524.318,0.1
6,def_fileserver.f,50000,3125.000MB,26782557,446310.625,0.1
7,def_fileserver.f,50000,6250.000MB,16056525,267588.431,0.2
0,def_varmail.f,50000,48.828MB,54484733,907694.626,0.0
1,def_varmail.f,50000,97.656MB,50552055,842458.008,0.0
2,def_varmail.f,50000,195.312MB,52511928,875057.857,0.0
3,def_varmail.f,50000,390.625MB,52470759,874328.196,0.0
4,def_varmail.f,50000,781.250MB,53729063,895387.532,0.0
5,def_varmail.f,50000,1562.500MB,54852120,914131.642,0.0
6,def_varmail.f,50000,3125.000MB,54470786,907788.441,0.0
7,def_varmail.f,50000,6250.000MB,55557623,925901.249,0.0
0,def_webserver.f,50000,48.828MB,,,
1,def_webserver.f,50000,97.656MB,,,
2,def_webserver.f,50000,195.312MB,,,
3,def_webserver.f,50000,390.625MB,,,
4,def_webserver.f,50000,781.250MB,,,
5,def_webserver.f,,,,,
6,def_webserver.f,,,,,
7,def_webserver.f,,,,,
