Run[#],TestType[test.f],Files[#],TotalSize[MB],TotalOps[#],Throughput[ops/s],Latency[ms/op]
0,def_fileserver.f,50000,48.828MB,54876606,914550.974,0.0
1,def_fileserver.f,50000,97.656MB,54518496,908584.405,0.0
2,def_fileserver.f,50000,195.312MB,52758631,879253.233,0.1
3,def_fileserver.f,50000,390.625MB,50306658,838370.705,0.1
4,def_fileserver.f,50000,781.250MB,45162561,752473.913,0.1
5,def_fileserver.f,50000,1562.500MB,38288310,638090.239,0.1
6,def_fileserver.f,50000,3125.000MB,27080736,451312.391,0.1
7,def_fileserver.f,50000,6250.000MB,16537631,275604.859,0.2
0,def_varmail.f,50000,48.828MB,53934662,898849.597,0.0
1,def_varmail.f,50000,97.656MB,53762335,895962.611,0.0
2,def_varmail.f,50000,195.312MB,53905214,898363.951,0.0
3,def_varmail.f,50000,390.625MB,54976346,916209.871,0.0
4,def_varmail.f,50000,781.250MB,53517597,891899.524,0.0
5,def_varmail.f,50000,1562.500MB,53669968,894434.486,0.0
6,def_varmail.f,50000,3125.000MB,53816789,896886.751,0.0
7,def_varmail.f,50000,6250.000MB,55282283,921311.989,0.0
0,def_webserver.f,50000,48.828MB,,,
1,def_webserver.f,50000,97.656MB,,,
2,def_webserver.f,50000,195.312MB,,,
3,def_webserver.f,50000,390.625MB,,,
4,def_webserver.f,50000,781.250MB,,,
5,def_webserver.f,50000,1562.500MB,,,
6,def_webserver.f,50000,3125.000MB,,,
7,def_webserver.f,50000,6250.000MB,,,
