Run[#],TestType[test.f],Files[#],TotalSize[MB],TotalOps[#],Throughput[ops/s],Latency[ms/op]
0,adjustAPPEND_16_fileserver.f,50000,48.828MB,1630356,21211.698,5.6
1,adjustAPPEND_16_fileserver.f,50000,97.656MB,1696344,23409.670,6.2
2,adjustAPPEND_16_fileserver.f,50000,195.312MB,1556637,20793.867,7.0
3,adjustAPPEND_16_fileserver.f,50000,390.625MB,1439380,17904.643,7.2
4,adjustAPPEND_16_fileserver.f,50000,781.250MB,888496,13529.854,9.7
5,adjustAPPEND_16_fileserver.f,50000,1562.500MB,438104,7299.563,20.4
6,adjustAPPEND_16_fileserver.f,50000,3125.000MB,421823,4986.365,25.0
7,adjustAPPEND_16_fileserver.f,50000,6250.000MB,314372,3996.300,17.0
0,adjustNOAPPEND_fileserver.f,50000,48.828MB,6255028,104232.125,1.7
1,adjustNOAPPEND_fileserver.f,50000,97.656MB,6061615,100960.631,1.8
2,adjustNOAPPEND_fileserver.f,50000,195.312MB,5564748,92727.258,2.0
3,adjustNOAPPEND_fileserver.f,50000,390.625MB,2431448,39472.085,4.7
4,adjustNOAPPEND_fileserver.f,50000,781.250MB,1348017,20869.882,6.9
5,adjustNOAPPEND_fileserver.f,50000,1562.500MB,634222,8153.483,18.7
6,adjustNOAPPEND_fileserver.f,50000,3125.000MB,197908,3297.756,60.3
7,adjustNOAPPEND_fileserver.f,50000,6250.000MB,271663,4098.353,50.2
0,adjustAPPEND_16_webserver.f,50000,48.828MB,6011309,97871.041,2.8
1,adjustAPPEND_16_webserver.f,50000,97.656MB,7070228,117810.765,2.3
2,adjustAPPEND_16_webserver.f,50000,195.312MB,5971558,99510.559,2.8
3,adjustAPPEND_16_webserver.f,50000,390.625MB,5253850,86764.572,3.2
4,adjustAPPEND_16_webserver.f,50000,781.250MB,4249983,70811.694,3.9
5,adjustAPPEND_16_webserver.f,50000,1562.500MB,3595624,59916.982,4.6
6,adjustAPPEND_16_webserver.f,50000,3125.000MB,2916224,48592.585,5.7
7,adjustAPPEND_16_webserver.f,50000,6250.000MB,1548286,25800.142,10.7
0,adjustNOAPPEND_webserver.f,50000,48.828MB,11933049,198862.285,1.5
1,adjustNOAPPEND_webserver.f,50000,97.656MB,11547228,192423.949,1.5
2,adjustNOAPPEND_webserver.f,50000,195.312MB,8663237,144358.462,2.0
3,adjustNOAPPEND_webserver.f,50000,390.625MB,7770545,129467.304,2.3
4,adjustNOAPPEND_webserver.f,50000,781.250MB,6140300,102316.601,2.9
5,adjustNOAPPEND_webserver.f,50000,1562.500MB,4064679,67732.932,4.3
6,adjustNOAPPEND_webserver.f,50000,3125.000MB,3386102,56426.397,5.2
7,adjustNOAPPEND_webserver.f,50000,6250.000MB,2016689,33606.583,8.7
0,adjustAPPEND_16_varmail.f,50000,48.828MB,51689,861.371,60.2
1,adjustAPPEND_16_varmail.f,50000,97.656MB,55248,920.669,56.3
2,adjustAPPEND_16_varmail.f,50000,195.312MB,73760,1229.172,42.2
3,adjustAPPEND_16_varmail.f,50000,390.625MB,70144,1168.904,44.4
4,adjustAPPEND_16_varmail.f,50000,781.250MB,65648,1093.980,47.5
5,adjustAPPEND_16_varmail.f,50000,1562.500MB,42886,714.659,72.6
6,adjustAPPEND_16_varmail.f,50000,3125.000MB,8695,144.889,357.8
7,adjustAPPEND_16_varmail.f,50000,6250.000MB,38820,646.921,80.2
0,adjustNOAPPEND_varmail.f,50000,48.828MB,110113,1834.970,47.9
1,adjustNOAPPEND_varmail.f,50000,97.656MB,106513,1774.989,49.5
2,adjustNOAPPEND_varmail.f,50000,195.312MB,103123,1718.490,51.2
3,adjustNOAPPEND_varmail.f,50000,390.625MB,105301,1754.766,50.1
4,adjustNOAPPEND_varmail.f,50000,781.250MB,104671,1743.530,50.4
5,adjustNOAPPEND_varmail.f,50000,1562.500MB,93876,1564.386,56.2
6,adjustNOAPPEND_varmail.f,50000,3125.000MB,63832,1063.710,82.6
7,adjustNOAPPEND_varmail.f,50000,6250.000MB,53753,895.737,98.0
