05-15-2017_15-06-10
Run[#],TestType[test.f],Files[#],TotalSize[MB],TotalOps[#],Throughput[ops/s],Latency[ms/op]
0,adjustAPPEND_16_fileserver.f,50000,48.828MB,42028489,700432.312,0.1
1,adjustAPPEND_16_fileserver.f,50000,97.656MB,41753853,695856.529,0.1
2,adjustAPPEND_16_fileserver.f,50000,195.312MB,41991509,699813.998,0.1
3,adjustAPPEND_16_fileserver.f,50000,390.625MB,40096686,667483.472,0.1
4,adjustAPPEND_16_fileserver.f,50000,781.250MB,36627498,610416.822,0.1
5,adjustAPPEND_16_fileserver.f,50000,1562.500MB,9014988,150238.600,1.0
6,adjustAPPEND_16_fileserver.f,50000,3125.000MB,2614768,43576.256,3.4
7,adjustAPPEND_16_fileserver.f,50000,6250.000MB,412341,6803.504,21.4
0,adjustNOAPPEND_fileserver.f,50000,48.828MB,43625473,727044.855,0.1
1,adjustNOAPPEND_fileserver.f,50000,97.656MB,42734956,712205.086,0.1
2,adjustNOAPPEND_fileserver.f,50000,195.312MB,41465177,691043.370,0.1
3,adjustNOAPPEND_fileserver.f,50000,390.625MB,39647095,660742.046,0.1
4,adjustNOAPPEND_fileserver.f,50000,781.250MB,36601125,609904.098,0.1
5,adjustNOAPPEND_fileserver.f,50000,1562.500MB,31679625,527962.151,0.1
6,adjustNOAPPEND_fileserver.f,50000,3125.000MB,2743058,45714.233,4.3
7,adjustNOAPPEND_fileserver.f,50000,6250.000MB,487131,8118.165,23.8
0,adjustAPPEND_16_webserver.f,50000,48.828MB,43869856,731115.428,0.2
1,adjustAPPEND_16_webserver.f,50000,97.656MB,45203221,753334.685,0.2
2,adjustAPPEND_16_webserver.f,50000,195.312MB,44219421,736940.054,0.2
3,adjustAPPEND_16_webserver.f,50000,390.625MB,43747132,728946.920,0.2
4,adjustAPPEND_16_webserver.f,50000,781.250MB,42934968,715521.313,0.2
5,adjustAPPEND_16_webserver.f,50000,1562.500MB,40478456,674552.421,0.2
6,adjustAPPEND_16_webserver.f,50000,3125.000MB,25066269,417718.782,0.3
7,adjustAPPEND_16_webserver.f,50000,6250.000MB,12957357,215839.138,0.7
0,adjustNOAPPEND_webserver.f,50000,48.828MB,74277716,1237849.165,0.1
1,adjustNOAPPEND_webserver.f,50000,97.656MB,75252826,1254139.668,0.1
2,adjustNOAPPEND_webserver.f,50000,195.312MB,80582408,1342960.429,0.1
3,adjustNOAPPEND_webserver.f,50000,390.625MB,86955036,1449160.680,0.1
4,adjustNOAPPEND_webserver.f,50000,781.250MB,74975264,1249506.474,0.1
5,adjustNOAPPEND_webserver.f,50000,1562.500MB,47349254,789094.249,0.1
6,adjustNOAPPEND_webserver.f,50000,3125.000MB,25166982,419418.041,0.2
7,adjustNOAPPEND_webserver.f,50000,6250.000MB,13177988,219590.218,0.6
0,adjustAPPEND_16_varmail.f,50000,48.828MB,53407,890.029,58.3
1,adjustAPPEND_16_varmail.f,50000,97.656MB,56614,943.467,55.0
2,adjustAPPEND_16_varmail.f,50000,195.312MB,66731,1112.062,46.7
3,adjustAPPEND_16_varmail.f,50000,390.625MB,60616,1010.159,51.4
4,adjustAPPEND_16_varmail.f,50000,781.250MB,60560,1009.236,51.5
5,adjustAPPEND_16_varmail.f,50000,1562.500MB,54421,906.917,57.2
6,adjustAPPEND_16_varmail.f,50000,3125.000MB,35760,595.928,87.1
7,adjustAPPEND_16_varmail.f,50000,6250.000MB,37386,623.025,83.1
0,adjustNOAPPEND_varmail.f,50000,48.828MB,106647,1777.266,49.5
1,adjustNOAPPEND_varmail.f,50000,97.656MB,110952,1848.995,47.5
2,adjustNOAPPEND_varmail.f,50000,195.312MB,103992,1733.020,50.7
3,adjustNOAPPEND_varmail.f,50000,390.625MB,104755,1745.736,50.3
4,adjustNOAPPEND_varmail.f,50000,781.250MB,98380,1639.503,53.6
5,adjustNOAPPEND_varmail.f,50000,1562.500MB,86523,1441.894,61.0
6,adjustNOAPPEND_varmail.f,50000,3125.000MB,72847,1213.979,72.4
7,adjustNOAPPEND_varmail.f,50000,6250.000MB,80277,1337.798,64.2
05-15-2017_16-00-18
