05-18-2017_21-20-53
Run[#],TestType[test.f],Files[#],TotalSize[MB],TotalOps[#],Throughput[ops/s],Latency[ms/op]
0,final_fileserver.f,50000,3125.000MB,1054582,17574.135,8.4
1,final_fileserver.f,50000,3125.000MB,1285129,21415.810,7.0
2,final_fileserver.f,50000,3125.000MB,952895,15879.018,9.3
3,final_fileserver.f,50000,3125.000MB,1196215,18332.567,8.1
4,final_fileserver.f,50000,3125.000MB,1132041,18864.283,7.8
5,final_fileserver.f,50000,3125.000MB,945778,15760.273,9.4
6,final_fileserver.f,50000,3125.000MB,1074784,17910.629,8.2
7,final_fileserver.f,50000,3125.000MB,1229896,20495.539,7.2
8,final_fileserver.f,50000,3125.000MB,950694,15787.355,9.4
9,final_fileserver.f,50000,3125.000MB,975144,16247.684,9.1
0,final_webserver.f,50000,781.250MB,30489138,508064.744,0.4
1,final_webserver.f,50000,781.250MB,29265240,487642.419,0.4
2,final_webserver.f,50000,781.250MB,45256090,754198.994,0.2
3,final_webserver.f,50000,781.250MB,45501645,758292.365,0.2
4,final_webserver.f,50000,781.250MB,45689846,761420.403,0.2
5,final_webserver.f,50000,781.250MB,41776251,690193.284,0.3
6,final_webserver.f,50000,781.250MB,36307775,605067.140,0.3
7,final_webserver.f,50000,781.250MB,38261406,637625.795,0.3
8,final_webserver.f,50000,781.250MB,44957006,749200.772,0.2
9,final_webserver.f,50000,781.250MB,46147625,758706.552,0.2
0,final_varmail.f,50000,97.656MB,39776,662.822,78.1
1,final_varmail.f,50000,97.656MB,31245,520.646,99.6
2,final_varmail.f,50000,97.656MB,40896,681.473,76.1
3,final_varmail.f,50000,97.656MB,41568,692.672,74.9
4,final_varmail.f,50000,97.656MB,45392,756.413,68.6
5,final_varmail.f,50000,97.656MB,49008,816.669,63.5
6,final_varmail.f,50000,97.656MB,49136,818.780,63.4
7,final_varmail.f,50000,97.656MB,39608,660.016,78.6
8,final_varmail.f,50000,97.656MB,43312,721.724,71.9
9,final_varmail.f,50000,97.656MB,48943,815.589,63.6
05-18-2017_21-56-18
