05-19-2017_13-45-58
Run[#],TestType[test.f],Files[#],TotalSize[MB],TotalOps[#],Throughput[ops/s],Latency[ms/op]
0,final_fileserver.f,50000,3125.000MB,2322241,38700.854,3.8
1,final_fileserver.f,50000,3125.000MB,2464575,41073.141,3.6
2,final_fileserver.f,50000,3125.000MB,2367446,39454.333,3.8
3,final_fileserver.f,50000,3125.000MB,2080709,34675.376,4.3
4,final_fileserver.f,50000,3125.000MB,2230271,36846.379,4.0
5,final_fileserver.f,50000,3125.000MB,2447288,40784.977,3.7
6,final_fileserver.f,50000,3125.000MB,2315821,38466.895,3.9
7,final_fileserver.f,50000,3125.000MB,2456739,40770.480,3.7
8,final_fileserver.f,50000,3125.000MB,2302834,38299.399,3.9
9,final_fileserver.f,50000,3125.000MB,2707865,45127.200,3.2
0,final_webserver.f,50000,781.250MB,32948064,549066.545,0.4
1,final_webserver.f,50000,781.250MB,32355005,539196.631,0.4
2,final_webserver.f,50000,781.250MB,33169256,552770.023,0.4
3,final_webserver.f,50000,781.250MB,32726483,545386.963,0.4
4,final_webserver.f,50000,781.250MB,32792198,546473.853,0.4
5,final_webserver.f,50000,781.250MB,32741177,545619.363,0.4
6,final_webserver.f,50000,781.250MB,32279246,537863.796,0.4
7,final_webserver.f,50000,781.250MB,32637141,543899.791,0.4
8,final_webserver.f,50000,781.250MB,32184723,536361.140,0.4
9,final_webserver.f,50000,781.250MB,31639693,527203.480,0.4
0,final_varmail.f,50000,97.656MB,44976,749.516,69.3
1,final_varmail.f,50000,97.656MB,55203,919.930,56.4
2,final_varmail.f,50000,97.656MB,41312,688.451,75.3
3,final_varmail.f,50000,97.656MB,59120,985.221,52.7
4,final_varmail.f,50000,97.656MB,43704,728.315,71.2
5,final_varmail.f,50000,97.656MB,58160,969.209,53.5
6,final_varmail.f,50000,97.656MB,65157,1085.843,47.8
7,final_varmail.f,50000,97.656MB,63696,1061.459,48.8
8,final_varmail.f,50000,97.656MB,57872,964.413,53.8
9,final_varmail.f,50000,97.656MB,58308,971.679,53.4
05-19-2017_14-18-56
