Run[#],TestType[test.f],Files[#],TotalSize[MB],TotalOps[#],Throughput[ops/s],Latency[ms/op]
0,adjustNOAPPEND_fileserver.f,50000,48.828MB,19666926,327751.100,0.5
1,adjustNOAPPEND_fileserver.f,50000,97.656MB,19360563,322608.539,0.5
2,adjustNOAPPEND_fileserver.f,50000,195.312MB,19258628,320934.609,0.5
3,adjustNOAPPEND_fileserver.f,50000,390.625MB,17386179,289725.761,0.6
4,adjustNOAPPEND_fileserver.f,50000,781.250MB,14380990,239634.465,0.7
5,adjustNOAPPEND_fileserver.f,50000,1562.500MB,11623191,193559.260,0.8
6,adjustNOAPPEND_fileserver.f,50000,3125.000MB,8478393,141139.923,1.1
7,adjustNOAPPEND_fileserver.f,50000,6250.000MB,6046897,100772.327,1.6
0,adjustAPPEND_16_fileserver.f,50000,48.828MB,16727164,278749.002,0.4
1,adjustAPPEND_16_fileserver.f,50000,97.656MB,16510160,275134.685,0.4
2,adjustAPPEND_16_fileserver.f,50000,195.312MB,16163064,269338.455,0.5
3,adjustAPPEND_16_fileserver.f,50000,390.625MB,15123125,252020.766,0.5
4,adjustAPPEND_16_fileserver.f,50000,781.250MB,13812324,230170.464,0.5
5,adjustAPPEND_16_fileserver.f,50000,1562.500MB,11391705,189844.474,0.6
6,adjustAPPEND_16_fileserver.f,50000,3125.000MB,8638818,143965.632,0.9
7,adjustAPPEND_16_fileserver.f,50000,6250.000MB,5889444,98139.326,1.2
0,adjustAPPEND_64_fileserver.f,50000,48.828MB,11252620,187526.361,0.7
1,adjustAPPEND_64_fileserver.f,50000,97.656MB,10956766,182592.006,0.7
2,adjustAPPEND_64_fileserver.f,50000,195.312MB,11057014,184271.607,0.7
3,adjustAPPEND_64_fileserver.f,50000,390.625MB,10482443,174689.056,0.7
4,adjustAPPEND_64_fileserver.f,50000,781.250MB,9697553,161603.388,0.8
5,adjustAPPEND_64_fileserver.f,50000,1562.500MB,8568018,142789.339,0.9
6,adjustAPPEND_64_fileserver.f,50000,3125.000MB,6902158,115028.580,1.1
7,adjustAPPEND_64_fileserver.f,50000,6250.000MB,4966981,82777.644,1.5
0,adjustNOAPPEND_webserver.f,50000,48.828MB,42080102,701257.054,0.3
1,adjustNOAPPEND_webserver.f,50000,97.656MB,41695693,694849.201,0.3
2,adjustNOAPPEND_webserver.f,50000,195.312MB,39517369,658567.541,0.3
3,adjustNOAPPEND_webserver.f,50000,390.625MB,34091458,568140.468,0.3
4,adjustNOAPPEND_webserver.f,50000,781.250MB,27579154,459616.939,0.3
5,adjustNOAPPEND_webserver.f,50000,1562.500MB,20975876,349575.828,0.4
6,adjustNOAPPEND_webserver.f,50000,3125.000MB,12231362,203827.474,0.8
7,adjustNOAPPEND_webserver.f,50000,6250.000MB,7288628,121469.384,1.5
0,adjustAPPEND_16_webserver.f,50000,48.828MB,,,
1,adjustAPPEND_16_webserver.f,50000,97.656MB,,,
2,adjustAPPEND_16_webserver.f,50000,195.312MB,,,
3,adjustAPPEND_16_webserver.f,50000,390.625MB,,,
4,adjustAPPEND_16_webserver.f,50000,781.250MB,25312387,421813.528,0.5
5,adjustAPPEND_16_webserver.f,50000,1562.500MB,19258371,320925.150,0.6
6,adjustAPPEND_16_webserver.f,50000,3125.000MB,12508697,208451.001,1.0
7,adjustAPPEND_16_webserver.f,50000,6250.000MB,,,
0,adjustAPPEND_64_webserver.f,50000,48.828MB,,,
1,adjustAPPEND_64_webserver.f,50000,97.656MB,,,
2,adjustAPPEND_64_webserver.f,50000,195.312MB,,,
3,adjustAPPEND_64_webserver.f,50000,390.625MB,,,
4,adjustAPPEND_64_webserver.f,50000,781.250MB,,,
5,adjustAPPEND_64_webserver.f,50000,1562.500MB,,,
6,adjustAPPEND_64_webserver.f,50000,3125.000MB,,,
7,adjustAPPEND_64_webserver.f,50000,6250.000MB,,,
