Run[#],TestType[test.f],Files[#],TotalSize[MB],TotalOps[#],Throughput[ops/s],Latency[ms/op]
0,adjustNOAPPEND_fileserver.f,50000,48.828MB,43623947,727021.932,0.1
1,adjustNOAPPEND_fileserver.f,50000,97.656MB,41838305,697262.934,0.1
2,adjustNOAPPEND_fileserver.f,50000,195.312MB,41451386,690813.833,0.1
3,adjustNOAPPEND_fileserver.f,50000,390.625MB,39564594,659365.909,0.1
4,adjustNOAPPEND_fileserver.f,50000,781.250MB,36035756,600560.220,0.1
5,adjustNOAPPEND_fileserver.f,50000,1562.500MB,31238543,520600.432,0.1
6,adjustNOAPPEND_fileserver.f,50000,3125.000MB,9309426,155144.254,1.2
7,adjustNOAPPEND_fileserver.f,50000,6250.000MB,525145,8751.626,21.2
0,adjustAPPEND_16_fileserver.f,50000,48.828MB,41470031,691122.664,0.1
1,adjustAPPEND_16_fileserver.f,50000,97.656MB,40995598,683218.871,0.1
2,adjustAPPEND_16_fileserver.f,50000,195.312MB,40637771,677254.950,0.1
3,adjustAPPEND_16_fileserver.f,50000,390.625MB,39089604,651448.917,0.1
4,adjustAPPEND_16_fileserver.f,50000,781.250MB,35777117,596249.657,0.1
5,adjustAPPEND_16_fileserver.f,50000,1562.500MB,9845677,164082.026,0.9
6,adjustAPPEND_16_fileserver.f,50000,3125.000MB,2316456,38151.468,3.9
7,adjustAPPEND_16_fileserver.f,50000,6250.000MB,444446,7406.829,19.6
0,adjustAPPEND_64_fileserver.f,50000,48.828MB,8456442,140930.306,1.0
1,adjustAPPEND_64_fileserver.f,50000,97.656MB,8175289,136244.607,1.1
2,adjustAPPEND_64_fileserver.f,50000,195.312MB,8369523,139482.112,1.0
3,adjustAPPEND_64_fileserver.f,50000,390.625MB,5432816,90539.909,1.6
4,adjustAPPEND_64_fileserver.f,50000,781.250MB,7462633,124366.958,1.2
5,adjustAPPEND_64_fileserver.f,50000,1562.500MB,3860680,64339.084,2.3
6,adjustAPPEND_64_fileserver.f,50000,3125.000MB,819554,13658.066,10.6
7,adjustAPPEND_64_fileserver.f,50000,6250.000MB,322568,5375.586,26.8
0,adjustNOAPPEND_webserver.f,50000,48.828MB,75593282,1259813.998,0.1
1,adjustNOAPPEND_webserver.f,50000,97.656MB,76690630,1278101.652,0.1
2,adjustNOAPPEND_webserver.f,50000,195.312MB,79671068,1327770.228,0.1
3,adjustNOAPPEND_webserver.f,50000,390.625MB,86461014,1440930.924,0.1
4,adjustNOAPPEND_webserver.f,50000,781.250MB,75348326,1255726.260,0.1
5,adjustNOAPPEND_webserver.f,50000,1562.500MB,45930501,765456.095,0.1
6,adjustNOAPPEND_webserver.f,50000,3125.000MB,26377259,439555.797,0.2
7,adjustNOAPPEND_webserver.f,50000,6250.000MB,12052155,200851.434,0.7
0,adjustAPPEND_16_webserver.f,50000,48.828MB,42998777,716602.021,0.2
1,adjustAPPEND_16_webserver.f,50000,97.656MB,42944551,715685.858,0.2
2,adjustAPPEND_16_webserver.f,50000,195.312MB,43283790,721282.621,0.2
3,adjustAPPEND_16_webserver.f,50000,390.625MB,42685507,711376.601,0.2
4,adjustAPPEND_16_webserver.f,50000,781.250MB,41218675,686906.169,0.2
5,adjustAPPEND_16_webserver.f,50000,1562.500MB,39211373,653473.862,0.2
6,adjustAPPEND_16_webserver.f,50000,3125.000MB,23425343,389805.425,0.4
7,adjustAPPEND_16_webserver.f,50000,6250.000MB,12766298,212725.674,0.8
0,adjustAPPEND_64_webserver.f,50000,48.828MB,17529361,292134.535,0.8
1,adjustAPPEND_64_webserver.f,50000,97.656MB,17076505,284586.755,0.8
2,adjustAPPEND_64_webserver.f,50000,195.312MB,16597929,276611.224,0.9
3,adjustAPPEND_64_webserver.f,50000,390.625MB,16310350,271816.923,0.9
4,adjustAPPEND_64_webserver.f,50000,781.250MB,15164339,252111.377,1.0
5,adjustAPPEND_64_webserver.f,50000,1562.500MB,12728612,212117.743,1.2
6,adjustAPPEND_64_webserver.f,50000,3125.000MB,10343808,171832.613,1.4
7,adjustAPPEND_64_webserver.f,50000,6250.000MB,9016604,149844.258,1.5
