Run[#],TestType[test.f],Files[#],TotalSize[MB],TotalOps[#],Throughput[ops/s],Latency[ms/op]
0,adjustNOAPPEND_fileserver.f,50000,48.828MB,19877356,331237.417,0.5
1,adjustNOAPPEND_fileserver.f,50000,97.656MB,19530939,325492.139,0.5
2,adjustNOAPPEND_fileserver.f,50000,195.312MB,20063393,334362.059,0.5
3,adjustNOAPPEND_fileserver.f,50000,390.625MB,18038584,300585.595,0.5
4,adjustNOAPPEND_fileserver.f,50000,781.250MB,14937093,248909.667,0.7
5,adjustNOAPPEND_fileserver.f,50000,1562.500MB,13192487,219849.845,0.7
6,adjustNOAPPEND_fileserver.f,50000,3125.000MB,9642318,160684.261,1.0
7,adjustNOAPPEND_fileserver.f,50000,6250.000MB,6357819,105957.319,1.5
0,adjustAPPEND_16_fileserver.f,50000,48.828MB,17669399,294465.096,0.4
1,adjustAPPEND_16_fileserver.f,50000,97.656MB,17244895,287367.884,0.4
2,adjustAPPEND_16_fileserver.f,50000,195.312MB,17390537,289803.744,0.4
3,adjustAPPEND_16_fileserver.f,50000,390.625MB,15856491,264251.446,0.5
4,adjustAPPEND_16_fileserver.f,50000,781.250MB,14716473,245255.306,0.5
5,adjustAPPEND_16_fileserver.f,50000,1562.500MB,12393546,206539.799,0.6
6,adjustAPPEND_16_fileserver.f,50000,3125.000MB,9394460,156564.908,0.8
7,adjustAPPEND_16_fileserver.f,50000,6250.000MB,6536825,108939.467,1.1
0,adjustAPPEND_64_fileserver.f,50000,48.828MB,11915556,198570.297,0.6
1,adjustAPPEND_64_fileserver.f,50000,97.656MB,11623125,193706.517,0.6
2,adjustAPPEND_64_fileserver.f,50000,195.312MB,11688976,194796.157,0.6
3,adjustAPPEND_64_fileserver.f,50000,390.625MB,11172787,186189.526,0.7
4,adjustAPPEND_64_fileserver.f,50000,781.250MB,10465090,174402.997,0.7
5,adjustAPPEND_64_fileserver.f,50000,1562.500MB,8982452,149695.131,0.8
6,adjustAPPEND_64_fileserver.f,50000,3125.000MB,7569367,126138.264,1.0
7,adjustAPPEND_64_fileserver.f,50000,6250.000MB,5414563,90236.475,1.4
0,adjustNOAPPEND_webserver.f,50000,48.828MB,43784793,729642.187,0.2
1,adjustNOAPPEND_webserver.f,50000,97.656MB,43067246,717718.580,0.2
2,adjustNOAPPEND_webserver.f,50000,195.312MB,41666799,694379.237,0.3
3,adjustNOAPPEND_webserver.f,50000,390.625MB,36324448,605352.672,0.3
4,adjustNOAPPEND_webserver.f,50000,781.250MB,29881433,497992.145,0.3
5,adjustNOAPPEND_webserver.f,50000,1562.500MB,22285904,371409.566,0.4
6,adjustNOAPPEND_webserver.f,50000,3125.000MB,14205315,236740.982,0.7
7,adjustNOAPPEND_webserver.f,50000,6250.000MB,7890533,131494.811,1.3
0,adjustAPPEND_16_webserver.f,50000,48.828MB,,,
1,adjustAPPEND_16_webserver.f,50000,97.656MB,,,
2,adjustAPPEND_16_webserver.f,50000,195.312MB,,,
3,adjustAPPEND_16_webserver.f,50000,390.625MB,,,
4,adjustAPPEND_16_webserver.f,50000,781.250MB,,,
5,adjustAPPEND_16_webserver.f,50000,1562.500MB,21343137,355689.890,0.5
6,adjustAPPEND_16_webserver.f,50000,3125.000MB,13594669,226564.238,0.8
7,adjustAPPEND_16_webserver.f,50000,6250.000MB,,,
0,adjustAPPEND_64_webserver.f,50000,48.828MB,,,
1,adjustAPPEND_64_webserver.f,50000,97.656MB,,,
2,adjustAPPEND_64_webserver.f,50000,195.312MB,,,
3,adjustAPPEND_64_webserver.f,50000,390.625MB,,,
4,adjustAPPEND_64_webserver.f,50000,781.250MB,,,
5,adjustAPPEND_64_webserver.f,50000,1562.500MB,,,
6,adjustAPPEND_64_webserver.f,50000,3125.000MB,,,
7,adjustAPPEND_64_webserver.f,50000,6250.000MB,,,
