Run[#],TestType[test.f],Files[#],TotalSize[MB],TotalOps[#],Throughput[ops/s],Latency[ms/op]
0,adjustNOAPPEND_fileserver.f,50000,48.828MB,20233993,337201.514,0.5
1,adjustNOAPPEND_fileserver.f,50000,97.656MB,19991865,333132.678,0.5
2,adjustNOAPPEND_fileserver.f,50000,195.312MB,19775493,329541.745,0.5
3,adjustNOAPPEND_fileserver.f,50000,390.625MB,18051048,300771.291,0.5
4,adjustNOAPPEND_fileserver.f,50000,781.250MB,15996128,266575.000,0.6
5,adjustNOAPPEND_fileserver.f,50000,1562.500MB,13184379,219721.179,0.7
6,adjustNOAPPEND_fileserver.f,50000,3125.000MB,9670394,161154.639,1.0
7,adjustNOAPPEND_fileserver.f,50000,6250.000MB,6307737,105114.998,1.6
0,adjustAPPEND_16_fileserver.f,50000,48.828MB,17423761,290360.777,0.4
1,adjustAPPEND_16_fileserver.f,50000,97.656MB,17596200,293233.839,0.4
2,adjustAPPEND_16_fileserver.f,50000,195.312MB,17320398,288645.542,0.4
3,adjustAPPEND_16_fileserver.f,50000,390.625MB,16241880,270646.573,0.5
4,adjustAPPEND_16_fileserver.f,50000,781.250MB,14711650,245170.193,0.5
5,adjustAPPEND_16_fileserver.f,50000,1562.500MB,11596081,193233.141,0.6
6,adjustAPPEND_16_fileserver.f,50000,3125.000MB,9544739,159060.394,0.8
7,adjustAPPEND_16_fileserver.f,50000,6250.000MB,6551244,109179.368,1.1
0,adjustAPPEND_64_fileserver.f,50000,48.828MB,11847563,197432.713,0.6
1,adjustAPPEND_64_fileserver.f,50000,97.656MB,11704605,195064.227,0.6
2,adjustAPPEND_64_fileserver.f,50000,195.312MB,11755393,195899.356,0.6
3,adjustAPPEND_64_fileserver.f,50000,390.625MB,11219793,186972.147,0.6
4,adjustAPPEND_64_fileserver.f,50000,781.250MB,10538785,175629.141,0.7
5,adjustAPPEND_64_fileserver.f,50000,1562.500MB,9341144,155674.130,0.8
6,adjustAPPEND_64_fileserver.f,50000,3125.000MB,7651368,127508.668,1.0
7,adjustAPPEND_64_fileserver.f,50000,6250.000MB,5474770,91238.244,1.3
0,adjustNOAPPEND_webserver.f,50000,48.828MB,43713369,728493.779,0.2
1,adjustNOAPPEND_webserver.f,50000,97.656MB,42954156,715826.710,0.2
2,adjustNOAPPEND_webserver.f,50000,195.312MB,41535690,692202.144,0.3
3,adjustNOAPPEND_webserver.f,50000,390.625MB,36249935,604129.839,0.3
4,adjustNOAPPEND_webserver.f,50000,781.250MB,30247641,504097.323,0.3
5,adjustNOAPPEND_webserver.f,50000,1562.500MB,22400979,373327.381,0.4
6,adjustNOAPPEND_webserver.f,50000,3125.000MB,14148704,235797.660,0.7
7,adjustNOAPPEND_webserver.f,50000,6250.000MB,7561851,126022.031,1.4
0,adjustAPPEND_16_webserver.f,50000,48.828MB,,,
1,adjustAPPEND_16_webserver.f,50000,97.656MB,,,
2,adjustAPPEND_16_webserver.f,50000,195.312MB,,,
3,adjustAPPEND_16_webserver.f,50000,390.625MB,,,
4,adjustAPPEND_16_webserver.f,50000,781.250MB,,,
5,adjustAPPEND_16_webserver.f,50000,1562.500MB,21091496,351489.913,0.5
6,adjustAPPEND_16_webserver.f,50000,3125.000MB,13781121,229671.708,0.8
7,adjustAPPEND_16_webserver.f,50000,6250.000MB,,,
0,adjustAPPEND_64_webserver.f,50000,48.828MB,,,
1,adjustAPPEND_64_webserver.f,50000,97.656MB,,,
2,adjustAPPEND_64_webserver.f,50000,195.312MB,,,
3,adjustAPPEND_64_webserver.f,50000,390.625MB,,,
4,adjustAPPEND_64_webserver.f,50000,781.250MB,,,
5,adjustAPPEND_64_webserver.f,50000,1562.500MB,,,
6,adjustAPPEND_64_webserver.f,50000,3125.000MB,,,
7,adjustAPPEND_64_webserver.f,50000,6250.000MB,,,
