Run[#],TestType[test.f],Files[#],TotalSize[MB],TotalOps[#],Throughput[ops/s],Latency[ms/op]
0,adjustNOAPPEND_fileserver.f,50000,48.828MB,20168603,336074.270,0.5
1,adjustNOAPPEND_fileserver.f,50000,97.656MB,19827152,330409.145,0.5
2,adjustNOAPPEND_fileserver.f,50000,195.312MB,19543803,325653.445,0.5
3,adjustNOAPPEND_fileserver.f,50000,390.625MB,17828864,297119.358,0.6
4,adjustNOAPPEND_fileserver.f,50000,781.250MB,14559513,242593.705,0.7
5,adjustNOAPPEND_fileserver.f,50000,1562.500MB,13181752,219670.293,0.7
6,adjustNOAPPEND_fileserver.f,50000,3125.000MB,9480350,157988.994,1.0
7,adjustNOAPPEND_fileserver.f,50000,6250.000MB,6332899,105537.168,1.6
0,adjustAPPEND_16_fileserver.f,50000,48.828MB,17437779,290604.493,0.4
1,adjustAPPEND_16_fileserver.f,50000,97.656MB,17040284,283971.849,0.4
2,adjustAPPEND_16_fileserver.f,50000,195.312MB,17066797,284407.212,0.4
3,adjustAPPEND_16_fileserver.f,50000,390.625MB,16005342,266724.071,0.5
4,adjustAPPEND_16_fileserver.f,50000,781.250MB,14566743,242747.076,0.5
5,adjustAPPEND_16_fileserver.f,50000,1562.500MB,12302958,205013.949,0.6
6,adjustAPPEND_16_fileserver.f,50000,3125.000MB,9456509,157589.867,0.8
7,adjustAPPEND_16_fileserver.f,50000,6250.000MB,6525576,108732.714,1.1
0,adjustAPPEND_64_fileserver.f,50000,48.828MB,11722308,195352.935,0.6
1,adjustAPPEND_64_fileserver.f,50000,97.656MB,11699796,194963.407,0.6
2,adjustAPPEND_64_fileserver.f,50000,195.312MB,10688869,178131.197,0.7
3,adjustAPPEND_64_fileserver.f,50000,390.625MB,11083170,184695.797,0.7
4,adjustAPPEND_64_fileserver.f,50000,781.250MB,10088290,168128.082,0.7
5,adjustAPPEND_64_fileserver.f,50000,1562.500MB,8676743,144575.182,0.9
6,adjustAPPEND_64_fileserver.f,50000,3125.000MB,7407552,123439.847,1.0
7,adjustAPPEND_64_fileserver.f,50000,6250.000MB,5194929,86573.421,1.4
0,adjustNOAPPEND_webserver.f,50000,48.828MB,42815770,713453.012,0.2
1,adjustNOAPPEND_webserver.f,50000,97.656MB,43370370,722743.508,0.2
2,adjustNOAPPEND_webserver.f,50000,195.312MB,41853025,697448.903,0.2
3,adjustNOAPPEND_webserver.f,50000,390.625MB,35837313,597234.411,0.3
4,adjustNOAPPEND_webserver.f,50000,781.250MB,29555420,492555.428,0.3
5,adjustNOAPPEND_webserver.f,50000,1562.500MB,21957259,365908.450,0.4
6,adjustNOAPPEND_webserver.f,50000,3125.000MB,14090445,234826.754,0.7
7,adjustNOAPPEND_webserver.f,50000,6250.000MB,7799690,129987.158,1.4
0,adjustAPPEND_16_webserver.f,50000,48.828MB,,,
1,adjustAPPEND_16_webserver.f,50000,97.656MB,,,
2,adjustAPPEND_16_webserver.f,50000,195.312MB,,,
3,adjustAPPEND_16_webserver.f,50000,390.625MB,,,
4,adjustAPPEND_16_webserver.f,50000,781.250MB,,,
5,adjustAPPEND_16_webserver.f,50000,1562.500MB,21700523,361638.804,0.5
6,adjustAPPEND_16_webserver.f,50000,3125.000MB,13414520,223547.572,0.8
7,adjustAPPEND_16_webserver.f,50000,6250.000MB,,,
0,adjustAPPEND_64_webserver.f,50000,48.828MB,,,
1,adjustAPPEND_64_webserver.f,50000,97.656MB,,,
2,adjustAPPEND_64_webserver.f,50000,195.312MB,,,
3,adjustAPPEND_64_webserver.f,50000,390.625MB,,,
4,adjustAPPEND_64_webserver.f,50000,781.250MB,,,
5,adjustAPPEND_64_webserver.f,50000,1562.500MB,,,
6,adjustAPPEND_64_webserver.f,50000,3125.000MB,,,
7,adjustAPPEND_64_webserver.f,50000,6250.000MB,,,
