Run[#],TestType[test.f],Files[#],TotalSize[MB],TotalOps[#],Throughput[ops/s],Latency[ms/op]
0,adjustNOAPPEND_fileserver.f,50000,48.828MB,20688938,344762.752,0.5
1,adjustNOAPPEND_fileserver.f,50000,97.656MB,20496121,341533.363,0.5
2,adjustNOAPPEND_fileserver.f,50000,195.312MB,20280580,337959.243,0.5
3,adjustNOAPPEND_fileserver.f,50000,390.625MB,18234586,303876.290,0.5
4,adjustNOAPPEND_fileserver.f,50000,781.250MB,14854551,247514.095,0.7
5,adjustNOAPPEND_fileserver.f,50000,1562.500MB,13394171,223200.832,0.7
6,adjustNOAPPEND_fileserver.f,50000,3125.000MB,9756984,162591.114,1.0
7,adjustNOAPPEND_fileserver.f,50000,6250.000MB,6423502,107051.603,1.5
0,adjustAPPEND_16_fileserver.f,50000,48.828MB,17817687,296924.780,0.4
1,adjustAPPEND_16_fileserver.f,50000,97.656MB,17901939,298309.613,0.4
2,adjustAPPEND_16_fileserver.f,50000,195.312MB,17633833,293846.494,0.4
3,adjustAPPEND_16_fileserver.f,50000,390.625MB,16361789,272667.008,0.4
4,adjustAPPEND_16_fileserver.f,50000,781.250MB,14894618,248218.787,0.5
5,adjustAPPEND_16_fileserver.f,50000,1562.500MB,12533532,208873.635,0.6
6,adjustAPPEND_16_fileserver.f,50000,3125.000MB,9517201,158600.231,0.8
7,adjustAPPEND_16_fileserver.f,50000,6250.000MB,6533931,108887.912,1.1
0,adjustAPPEND_64_fileserver.f,50000,48.828MB,12071345,201156.955,0.6
1,adjustAPPEND_64_fileserver.f,50000,97.656MB,11968989,199447.525,0.6
2,adjustAPPEND_64_fileserver.f,50000,195.312MB,11839839,197316.608,0.6
3,adjustAPPEND_64_fileserver.f,50000,390.625MB,11341571,189010.168,0.6
4,adjustAPPEND_64_fileserver.f,50000,781.250MB,10529947,175488.447,0.7
5,adjustAPPEND_64_fileserver.f,50000,1562.500MB,9407704,156780.951,0.8
6,adjustAPPEND_64_fileserver.f,50000,3125.000MB,7646167,127426.430,1.0
7,adjustAPPEND_64_fileserver.f,50000,6250.000MB,5525757,92090.059,1.3
0,adjustNOAPPEND_webserver.f,50000,48.828MB,44402107,739950.602,0.2
1,adjustNOAPPEND_webserver.f,50000,97.656MB,43566273,726025.135,0.2
2,adjustNOAPPEND_webserver.f,50000,195.312MB,41166978,686020.806,0.3
3,adjustNOAPPEND_webserver.f,50000,390.625MB,36046975,600731.084,0.3
4,adjustNOAPPEND_webserver.f,50000,781.250MB,30498776,508282.868,0.3
5,adjustNOAPPEND_webserver.f,50000,1562.500MB,22741005,378991.408,0.4
6,adjustNOAPPEND_webserver.f,50000,3125.000MB,14050448,234160.060,0.6
7,adjustNOAPPEND_webserver.f,50000,6250.000MB,7826815,130438.979,1.3
0,adjustAPPEND_16_webserver.f,50000,48.828MB,,,
1,adjustAPPEND_16_webserver.f,50000,97.656MB,,,
2,adjustAPPEND_16_webserver.f,50000,195.312MB,,,
3,adjustAPPEND_16_webserver.f,50000,390.625MB,,,
4,adjustAPPEND_16_webserver.f,50000,781.250MB,,,
5,adjustAPPEND_16_webserver.f,50000,1562.500MB,21225442,353725.962,0.5
6,adjustAPPEND_16_webserver.f,50000,3125.000MB,13963946,232716.135,0.8
7,adjustAPPEND_16_webserver.f,50000,6250.000MB,,,
0,adjustAPPEND_64_webserver.f,50000,48.828MB,,,
1,adjustAPPEND_64_webserver.f,50000,97.656MB,,,
2,adjustAPPEND_64_webserver.f,50000,195.312MB,,,
3,adjustAPPEND_64_webserver.f,50000,390.625MB,,,
4,adjustAPPEND_64_webserver.f,50000,781.250MB,,,
5,adjustAPPEND_64_webserver.f,50000,1562.500MB,,,
6,adjustAPPEND_64_webserver.f,50000,3125.000MB,,,
7,adjustAPPEND_64_webserver.f,50000,6250.000MB,,,
