Run[#],TestType[test.f],Files[#],TotalSize[MB],TotalOps[#],Throughput[ops/s],Latency[ms/op]
0,adjustNOAPPEND_fileserver.f,50000,48.828MB,18054917,300853.834,0.5
1,adjustNOAPPEND_fileserver.f,50000,97.656MB,19842181,330658.312,0.5
2,adjustNOAPPEND_fileserver.f,50000,195.312MB,19663428,327641.999,0.5
3,adjustNOAPPEND_fileserver.f,50000,390.625MB,17509073,291784.902,0.6
4,adjustNOAPPEND_fileserver.f,50000,781.250MB,14045684,234044.347,0.7
5,adjustNOAPPEND_fileserver.f,50000,1562.500MB,12473795,207857.163,0.8
6,adjustNOAPPEND_fileserver.f,50000,3125.000MB,9131811,152185.976,1.1
7,adjustNOAPPEND_fileserver.f,50000,6250.000MB,5945576,99083.979,1.6
0,adjustAPPEND_16_fileserver.f,50000,48.828MB,16833108,280502.978,0.4
1,adjustAPPEND_16_fileserver.f,50000,97.656MB,16949059,282445.118,0.4
2,adjustAPPEND_16_fileserver.f,50000,195.312MB,16446534,274091.399,0.4
3,adjustAPPEND_16_fileserver.f,50000,390.625MB,15499682,258300.821,0.5
4,adjustAPPEND_16_fileserver.f,50000,781.250MB,13845881,230732.546,0.5
5,adjustAPPEND_16_fileserver.f,50000,1562.500MB,11777644,196274.779,0.6
6,adjustAPPEND_16_fileserver.f,50000,3125.000MB,8681337,144678.024,0.8
7,adjustAPPEND_16_fileserver.f,50000,6250.000MB,6073292,101208.958,1.2
0,adjustAPPEND_64_fileserver.f,50000,48.828MB,11214163,186884.321,0.7
1,adjustAPPEND_64_fileserver.f,50000,97.656MB,11317939,188609.756,0.6
2,adjustAPPEND_64_fileserver.f,50000,195.312MB,10993704,183211.105,0.7
3,adjustAPPEND_64_fileserver.f,50000,390.625MB,10561146,175986.402,0.7
4,adjustAPPEND_64_fileserver.f,50000,781.250MB,9748925,162471.940,0.7
5,adjustAPPEND_64_fileserver.f,50000,1562.500MB,8716767,145270.158,0.8
6,adjustAPPEND_64_fileserver.f,50000,3125.000MB,6983200,116376.468,1.1
7,adjustAPPEND_64_fileserver.f,50000,6250.000MB,5128829,85464.497,1.4
0,adjustNOAPPEND_webserver.f,50000,48.828MB,43052298,717454.920,0.2
1,adjustNOAPPEND_webserver.f,50000,97.656MB,41548231,692328.151,0.3
2,adjustNOAPPEND_webserver.f,50000,195.312MB,39728059,662062.108,0.3
3,adjustNOAPPEND_webserver.f,50000,390.625MB,33985233,566383.065,0.3
4,adjustNOAPPEND_webserver.f,50000,781.250MB,27759424,462629.687,0.3
5,adjustNOAPPEND_webserver.f,50000,1562.500MB,20900015,348290.320,0.4
6,adjustNOAPPEND_webserver.f,50000,3125.000MB,12937863,215614.146,0.8
7,adjustNOAPPEND_webserver.f,50000,6250.000MB,7547244,125779.453,1.4
0,adjustAPPEND_16_webserver.f,50000,48.828MB,,,
1,adjustAPPEND_16_webserver.f,50000,97.656MB,,,
2,adjustAPPEND_16_webserver.f,50000,195.312MB,,,
3,adjustAPPEND_16_webserver.f,50000,390.625MB,,,
4,adjustAPPEND_16_webserver.f,50000,781.250MB,26428305,440379.197,0.4
5,adjustAPPEND_16_webserver.f,50000,1562.500MB,19406586,323408.592,0.6
6,adjustAPPEND_16_webserver.f,50000,3125.000MB,12703448,211700.243,0.9
7,adjustAPPEND_16_webserver.f,50000,6250.000MB,,,
0,adjustAPPEND_64_webserver.f,50000,48.828MB,,,
1,adjustAPPEND_64_webserver.f,50000,97.656MB,,,
2,adjustAPPEND_64_webserver.f,50000,195.312MB,,,
3,adjustAPPEND_64_webserver.f,50000,390.625MB,,,
4,adjustAPPEND_64_webserver.f,50000,781.250MB,,,
5,adjustAPPEND_64_webserver.f,50000,1562.500MB,,,
6,adjustAPPEND_64_webserver.f,50000,3125.000MB,,,
7,adjustAPPEND_64_webserver.f,50000,6250.000MB,,,
