Run[#],TestType[test.f],Files[#],TotalSize[MB],TotalOps[#],Throughput[ops/s],Latency[ms/op]
0,adjustNOAPPEND_fileserver.f,50000,48.828MB,19538319,325570.801,0.5
1,adjustNOAPPEND_fileserver.f,50000,97.656MB,19409775,323447.609,0.5
2,adjustNOAPPEND_fileserver.f,50000,195.312MB,18990784,316473.529,0.5
3,adjustNOAPPEND_fileserver.f,50000,390.625MB,17318974,288585.962,0.6
4,adjustNOAPPEND_fileserver.f,50000,781.250MB,15045100,250722.583,0.7
5,adjustNOAPPEND_fileserver.f,50000,1562.500MB,12410204,206816.972,0.8
6,adjustNOAPPEND_fileserver.f,50000,3125.000MB,9067475,151104.970,1.1
7,adjustNOAPPEND_fileserver.f,50000,6250.000MB,6104677,101733.794,1.6
0,adjustAPPEND_16_fileserver.f,50000,48.828MB,16920072,281973.844,0.4
1,adjustAPPEND_16_fileserver.f,50000,97.656MB,16448125,274080.167,0.4
2,adjustAPPEND_16_fileserver.f,50000,195.312MB,16590892,276482.961,0.4
3,adjustAPPEND_16_fileserver.f,50000,390.625MB,15280526,254643.556,0.5
4,adjustAPPEND_16_fileserver.f,50000,781.250MB,13688021,228116.069,0.5
5,adjustAPPEND_16_fileserver.f,50000,1562.500MB,11596835,193262.510,0.6
6,adjustAPPEND_16_fileserver.f,50000,3125.000MB,8783549,146377.789,0.8
7,adjustAPPEND_16_fileserver.f,50000,6250.000MB,5926151,98759.553,1.2
0,adjustAPPEND_64_fileserver.f,50000,48.828MB,10301502,171674.298,0.7
1,adjustAPPEND_64_fileserver.f,50000,97.656MB,11032082,183848.040,0.7
2,adjustAPPEND_64_fileserver.f,50000,195.312MB,10423235,173704.206,0.7
3,adjustAPPEND_64_fileserver.f,50000,390.625MB,10232461,170521.023,0.7
4,adjustAPPEND_64_fileserver.f,50000,781.250MB,9447706,157430.089,0.8
5,adjustAPPEND_64_fileserver.f,50000,1562.500MB,8349263,139135.860,0.9
6,adjustAPPEND_64_fileserver.f,50000,3125.000MB,6688641,111463.447,1.1
7,adjustAPPEND_64_fileserver.f,50000,6250.000MB,4847135,80771.458,1.5
0,adjustNOAPPEND_webserver.f,50000,48.828MB,39189325,653059.961,0.3
1,adjustNOAPPEND_webserver.f,50000,97.656MB,41227339,687008.926,0.3
2,adjustNOAPPEND_webserver.f,50000,195.312MB,38410880,640140.055,0.3
3,adjustNOAPPEND_webserver.f,50000,390.625MB,33380761,556310.811,0.3
4,adjustNOAPPEND_webserver.f,50000,781.250MB,27447800,457435.803,0.3
5,adjustNOAPPEND_webserver.f,50000,1562.500MB,20501591,341672.558,0.4
6,adjustNOAPPEND_webserver.f,50000,3125.000MB,12333003,205530.747,0.8
7,adjustNOAPPEND_webserver.f,50000,6250.000MB,7434670,123903.150,1.5
0,adjustAPPEND_16_webserver.f,50000,48.828MB,,,
1,adjustAPPEND_16_webserver.f,50000,97.656MB,,,
2,adjustAPPEND_16_webserver.f,50000,195.312MB,,,
3,adjustAPPEND_16_webserver.f,50000,390.625MB,,,
4,adjustAPPEND_16_webserver.f,50000,781.250MB,25415825,423558.201,0.4
5,adjustAPPEND_16_webserver.f,50000,1562.500MB,19324318,322045.371,0.6
6,adjustAPPEND_16_webserver.f,50000,3125.000MB,11768216,196120.208,1.1
7,adjustAPPEND_16_webserver.f,50000,6250.000MB,,,
0,adjustAPPEND_64_webserver.f,50000,48.828MB,,,
1,adjustAPPEND_64_webserver.f,50000,97.656MB,,,
2,adjustAPPEND_64_webserver.f,50000,195.312MB,,,
3,adjustAPPEND_64_webserver.f,50000,390.625MB,,,
4,adjustAPPEND_64_webserver.f,50000,781.250MB,,,
5,adjustAPPEND_64_webserver.f,50000,1562.500MB,,,
6,adjustAPPEND_64_webserver.f,50000,3125.000MB,,,
7,adjustAPPEND_64_webserver.f,50000,6250.000MB,,,
