Run[#],TestType[test.f],Files[#],TotalSize[MB],TotalOps[#],Throughput[ops/s],Latency[ms/op]
0,adjustNOAPPEND_fileserver.f,50000,48.828MB,41736666,695569.262,0.1
1,adjustNOAPPEND_fileserver.f,50000,97.656MB,41526948,692070.596,0.1
2,adjustNOAPPEND_fileserver.f,50000,195.312MB,40522828,675336.345,0.1
3,adjustNOAPPEND_fileserver.f,50000,390.625MB,38811637,646819.059,0.1
4,adjustNOAPPEND_fileserver.f,50000,781.250MB,35166406,586067.930,0.1
5,adjustNOAPPEND_fileserver.f,50000,1562.500MB,31907766,531764.035,0.1
6,adjustNOAPPEND_fileserver.f,50000,3125.000MB,8617039,143605.287,1.3
7,adjustNOAPPEND_fileserver.f,50000,6250.000MB,626558,10441.662,18.4
0,adjustAPPEND_16_fileserver.f,50000,48.828MB,42084693,701369.328,0.1
1,adjustAPPEND_16_fileserver.f,50000,97.656MB,41818760,696935.635,0.1
2,adjustAPPEND_16_fileserver.f,50000,195.312MB,41032585,683836.207,0.1
3,adjustAPPEND_16_fileserver.f,50000,390.625MB,39154999,652539.662,0.1
4,adjustAPPEND_16_fileserver.f,50000,781.250MB,36147804,602427.335,0.1
5,adjustAPPEND_16_fileserver.f,50000,1562.500MB,10616156,176921.485,0.8
6,adjustAPPEND_16_fileserver.f,50000,3125.000MB,2569881,42827.959,3.5
7,adjustAPPEND_16_fileserver.f,50000,6250.000MB,445550,7425.222,18.9
0,adjustAPPEND_64_fileserver.f,50000,48.828MB,8023802,133719.338,1.1
1,adjustAPPEND_64_fileserver.f,50000,97.656MB,8969015,149472.702,1.0
2,adjustAPPEND_64_fileserver.f,50000,195.312MB,7733536,128882.188,1.1
3,adjustAPPEND_64_fileserver.f,50000,390.625MB,7306340,121763.280,1.1
4,adjustAPPEND_64_fileserver.f,50000,781.250MB,7550385,125829.287,1.1
5,adjustAPPEND_64_fileserver.f,50000,1562.500MB,3947318,65783.476,2.2
6,adjustAPPEND_64_fileserver.f,50000,3125.000MB,818627,13642.631,10.6
7,adjustAPPEND_64_fileserver.f,50000,6250.000MB,367882,6130.851,23.6
0,adjustNOAPPEND_webserver.f,50000,48.828MB,70203759,1169992.626,0.1
1,adjustNOAPPEND_webserver.f,50000,97.656MB,70970506,1182769.204,0.1
2,adjustNOAPPEND_webserver.f,50000,195.312MB,76242486,1270632.646,0.1
3,adjustNOAPPEND_webserver.f,50000,390.625MB,83621275,1393602.535,0.1
4,adjustNOAPPEND_webserver.f,50000,781.250MB,75424158,1256982.086,0.1
5,adjustNOAPPEND_webserver.f,50000,1562.500MB,48256920,804195.160,0.1
6,adjustNOAPPEND_webserver.f,50000,3125.000MB,26721118,445296.498,0.2
7,adjustNOAPPEND_webserver.f,50000,6250.000MB,13338320,222280.908,0.5
0,adjustAPPEND_16_webserver.f,50000,48.828MB,42917902,715248.585,0.2
1,adjustAPPEND_16_webserver.f,50000,97.656MB,43390492,723120.669,0.2
2,adjustAPPEND_16_webserver.f,50000,195.312MB,43479027,724577.231,0.2
3,adjustAPPEND_16_webserver.f,50000,390.625MB,42107346,701735.546,0.2
4,adjustAPPEND_16_webserver.f,50000,781.250MB,39821053,663629.390,0.3
5,adjustAPPEND_16_webserver.f,50000,1562.500MB,40010965,666797.229,0.2
6,adjustAPPEND_16_webserver.f,50000,3125.000MB,21623021,360336.996,0.4
7,adjustAPPEND_16_webserver.f,50000,6250.000MB,11601036,193299.282,0.8
0,adjustAPPEND_64_webserver.f,50000,48.828MB,17163064,276990.571,0.9
1,adjustAPPEND_64_webserver.f,50000,97.656MB,16945228,270496.840,0.9
2,adjustAPPEND_64_webserver.f,50000,195.312MB,16534962,275555.829,0.9
3,adjustAPPEND_64_webserver.f,50000,390.625MB,16118566,268616.013,0.9
4,adjustAPPEND_64_webserver.f,50000,781.250MB,14935042,248888.757,1.0
5,adjustAPPEND_64_webserver.f,50000,1562.500MB,13272130,213203.507,1.2
6,adjustAPPEND_64_webserver.f,50000,3125.000MB,10769770,179473.248,1.3
7,adjustAPPEND_64_webserver.f,50000,6250.000MB,6321548,105325.803,2.3
