Run[#],TestType[test.f],Files[#],TotalSize[MB],TotalOps[#],Throughput[ops/s],Latency[ms/op]
0,adjustNOAPPEND_fileserver.f,50000,48.828MB,42209160,703444.157,0.1
1,adjustNOAPPEND_fileserver.f,50000,97.656MB,41782245,696328.564,0.1
2,adjustNOAPPEND_fileserver.f,50000,195.312MB,41459979,690958.849,0.1
3,adjustNOAPPEND_fileserver.f,50000,390.625MB,38548843,642437.063,0.1
4,adjustNOAPPEND_fileserver.f,50000,781.250MB,35579229,592948.934,0.1
5,adjustNOAPPEND_fileserver.f,50000,1562.500MB,30415677,505723.048,0.1
6,adjustNOAPPEND_fileserver.f,50000,3125.000MB,9663459,159420.534,1.2
7,adjustNOAPPEND_fileserver.f,50000,6250.000MB,570251,9503.342,20.4
0,adjustAPPEND_16_fileserver.f,50000,48.828MB,41685724,694720.684,0.1
1,adjustAPPEND_16_fileserver.f,50000,97.656MB,40994069,683192.501,0.1
2,adjustAPPEND_16_fileserver.f,50000,195.312MB,40727607,678752.035,0.1
3,adjustAPPEND_16_fileserver.f,50000,390.625MB,38766675,646067.748,0.1
4,adjustAPPEND_16_fileserver.f,50000,781.250MB,35876139,597900.364,0.1
5,adjustAPPEND_16_fileserver.f,50000,1562.500MB,11363126,189368.665,0.7
6,adjustAPPEND_16_fileserver.f,50000,3125.000MB,2930841,48843.242,3.0
7,adjustAPPEND_16_fileserver.f,50000,6250.000MB,446935,7448.256,19.1
0,adjustAPPEND_64_fileserver.f,50000,48.828MB,8234289,137227.474,1.0
1,adjustAPPEND_64_fileserver.f,50000,97.656MB,8319882,138653.536,1.0
2,adjustAPPEND_64_fileserver.f,50000,195.312MB,6893913,114890.000,1.3
3,adjustAPPEND_64_fileserver.f,50000,390.625MB,8246763,137433.990,1.1
4,adjustAPPEND_64_fileserver.f,50000,781.250MB,7697325,128279.324,1.1
5,adjustAPPEND_64_fileserver.f,50000,1562.500MB,3051056,50808.946,2.9
6,adjustAPPEND_64_fileserver.f,50000,3125.000MB,716698,11943.892,12.1
7,adjustAPPEND_64_fileserver.f,50000,6250.000MB,362928,6048.246,23.8
0,adjustNOAPPEND_webserver.f,50000,48.828MB,70542323,1175634.806,0.1
1,adjustNOAPPEND_webserver.f,50000,97.656MB,70867122,1181048.132,0.1
2,adjustNOAPPEND_webserver.f,50000,195.312MB,74747502,1245717.476,0.1
3,adjustNOAPPEND_webserver.f,50000,390.625MB,82768589,1379393.927,0.1
4,adjustNOAPPEND_webserver.f,50000,781.250MB,75162726,1252615.586,0.1
5,adjustNOAPPEND_webserver.f,50000,1562.500MB,48836691,813855.407,0.1
6,adjustNOAPPEND_webserver.f,50000,3125.000MB,26454192,440870.443,0.2
7,adjustNOAPPEND_webserver.f,50000,6250.000MB,13305352,221737.995,0.6
0,adjustAPPEND_16_webserver.f,50000,48.828MB,32227569,537075.486,0.4
1,adjustAPPEND_16_webserver.f,50000,97.656MB,29353383,489085.592,0.4
2,adjustAPPEND_16_webserver.f,50000,195.312MB,29165679,483783.559,0.4
3,adjustAPPEND_16_webserver.f,50000,390.625MB,30494376,508168.804,0.4
4,adjustAPPEND_16_webserver.f,50000,781.250MB,28513623,475176.238,0.4
5,adjustAPPEND_16_webserver.f,50000,1562.500MB,30759347,512599.406,0.3
6,adjustAPPEND_16_webserver.f,50000,3125.000MB,20723217,345334.108,0.4
7,adjustAPPEND_16_webserver.f,50000,6250.000MB,11931240,198791.172,0.9
0,adjustAPPEND_64_webserver.f,50000,48.828MB,14443799,240676.405,1.0
1,adjustAPPEND_64_webserver.f,50000,97.656MB,15957584,265927.277,0.9
2,adjustAPPEND_64_webserver.f,50000,195.312MB,16199496,269912.156,0.9
3,adjustAPPEND_64_webserver.f,50000,390.625MB,15866799,255691.772,0.9
4,adjustAPPEND_64_webserver.f,50000,781.250MB,14640625,233073.972,1.0
5,adjustAPPEND_64_webserver.f,50000,1562.500MB,12648286,202983.462,1.2
6,adjustAPPEND_64_webserver.f,50000,3125.000MB,9482658,156546.099,1.5
7,adjustAPPEND_64_webserver.f,50000,6250.000MB,7409916,117597.124,2.0
