Run[#],TestType[test.f],Files[#],TotalSize[MB],TotalOps[#],Throughput[ops/s],Latency[ms/op]
0,def_fileserver.f,50000,48.828MB,41042630,684002.577,0.1
0,def_fileserver.f,50000,48.828MB,42035306,698986.705,0.1
0,def_fileserver.f,50000,48.828MB,41103951,685020.068,0.1
0,def_fileserver.f,50000,48.828MB,40801652,679986.111,0.1
0,def_fileserver.f,50000,48.828MB,41635166,693877.419,0.1
1,def_fileserver.f,50000,97.656MB,41834766,697201.979,0.1
1,def_fileserver.f,50000,97.656MB,41788187,694929.703,0.1
1,def_fileserver.f,50000,97.656MB,41837197,697242.295,0.1
1,def_fileserver.f,50000,97.656MB,41670035,694458.765,0.1
1,def_fileserver.f,50000,97.656MB,41216689,686902.927,0.1
2,def_fileserver.f,50000,195.312MB,40905834,681720.554,0.1
2,def_fileserver.f,50000,195.312MB,41170523,686133.198,0.1
2,def_fileserver.f,50000,195.312MB,40942065,682326.208,0.1
2,def_fileserver.f,50000,195.312MB,41081368,684649.038,0.1
2,def_fileserver.f,50000,195.312MB,40743993,679023.851,0.1
3,def_fileserver.f,50000,390.625MB,38848813,647441.230,0.1
3,def_fileserver.f,50000,390.625MB,39258897,654271.855,0.1
3,def_fileserver.f,50000,390.625MB,38607070,643412.401,0.1
3,def_fileserver.f,50000,390.625MB,38671044,644474.704,0.1
3,def_fileserver.f,50000,390.625MB,38793267,646501.986,0.1
4,def_fileserver.f,50000,781.250MB,35858834,597611.616,0.1
4,def_fileserver.f,50000,781.250MB,35743070,595681.110,0.1
4,def_fileserver.f,50000,781.250MB,35756578,594025.334,0.1
4,def_fileserver.f,50000,781.250MB,35148889,585779.699,0.1
4,def_fileserver.f,50000,781.250MB,35128662,585441.588,0.1
5,def_fileserver.f,50000,1562.500MB,9957880,165953.694,0.9
5,def_fileserver.f,50000,1562.500MB,9885186,164740.780,0.9
5,def_fileserver.f,50000,1562.500MB,8831664,147182.895,1.0
5,def_fileserver.f,50000,1562.500MB,8628808,143803.029,1.0
5,def_fileserver.f,50000,1562.500MB,9416001,156922.232,0.9
6,def_fileserver.f,50000,3125.000MB,2305510,38422.272,3.8
6,def_fileserver.f,50000,3125.000MB,1967927,32796.254,4.5
6,def_fileserver.f,50000,3125.000MB,2125254,35418.026,4.2
6,def_fileserver.f,50000,3125.000MB,2042781,34043.393,4.3
6,def_fileserver.f,50000,3125.000MB,2088652,34481.651,4.3
7,def_fileserver.f,50000,6250.000MB,463625,7726.510,18.8
7,def_fileserver.f,50000,6250.000MB,425925,7098.232,20.4
7,def_fileserver.f,50000,6250.000MB,401475,6690.551,21.6
7,def_fileserver.f,50000,6250.000MB,418227,6969.806,20.8
7,def_fileserver.f,50000,6250.000MB,439243,7320.139,20.1
0,def_varmail.f,50000,48.828MB,51741,862.257,60.2
0,def_varmail.f,50000,48.828MB,50174,836.139,62.0
0,def_varmail.f,50000,48.828MB,51856,864.167,59.8
0,def_varmail.f,50000,48.828MB,50006,833.341,62.2
0,def_varmail.f,50000,48.828MB,52513,875.121,59.3
1,def_varmail.f,50000,97.656MB,49056,817.517,63.5
1,def_varmail.f,50000,97.656MB,40081,667.947,77.6
1,def_varmail.f,50000,97.656MB,51010,850.065,61.0
1,def_varmail.f,50000,97.656MB,55464,924.305,56.1
1,def_varmail.f,50000,97.656MB,52391,873.090,59.4
2,def_varmail.f,50000,195.312MB,59337,988.836,52.5
2,def_varmail.f,50000,195.312MB,55420,923.566,56.1
2,def_varmail.f,50000,195.312MB,54428,907.032,57.2
2,def_varmail.f,50000,195.312MB,56393,939.780,55.2
2,def_varmail.f,50000,195.312MB,57634,960.460,54.1
3,def_varmail.f,50000,390.625MB,56128,935.365,55.5
3,def_varmail.f,50000,390.625MB,55912,931.763,55.7
3,def_varmail.f,50000,390.625MB,57258,954.194,54.4
3,def_varmail.f,50000,390.625MB,55117,918.522,56.5
3,def_varmail.f,50000,390.625MB,54638,910.535,57.0
4,def_varmail.f,50000,781.250MB,51661,860.922,60.2
4,def_varmail.f,50000,781.250MB,48174,802.811,64.7
4,def_varmail.f,50000,781.250MB,49487,824.701,62.9
4,def_varmail.f,50000,781.250MB,49895,831.500,62.4
4,def_varmail.f,50000,781.250MB,52067,867.686,59.8
5,def_varmail.f,50000,1562.500MB,44293,738.134,70.2
5,def_varmail.f,50000,1562.500MB,42301,704.935,73.5
5,def_varmail.f,50000,1562.500MB,46116,768.497,67.5
5,def_varmail.f,50000,1562.500MB,42005,699.997,74.1
5,def_varmail.f,50000,1562.500MB,42144,702.310,73.9
6,def_varmail.f,50000,3125.000MB,29595,493.195,105.1
6,def_varmail.f,50000,3125.000MB,26551,442.462,117.2
6,def_varmail.f,50000,3125.000MB,26368,439.415,118.1
6,def_varmail.f,50000,3125.000MB,28000,466.607,109.7
6,def_varmail.f,50000,3125.000MB,26190,436.450,118.8
7,def_varmail.f,50000,6250.000MB,27888,464.744,111.7
7,def_varmail.f,50000,6250.000MB,29417,490.227,105.9
7,def_varmail.f,50000,6250.000MB,29204,486.671,106.6
7,def_varmail.f,50000,6250.000MB,27290,454.777,114.1
7,def_varmail.f,50000,6250.000MB,25650,427.448,121.4
0,def_webserver.f,50000,48.828MB,42117935,701921.444,0.2
0,def_webserver.f,50000,48.828MB,42839758,713946.288,0.2
0,def_webserver.f,50000,48.828MB,42076994,701021.776,0.2
0,def_webserver.f,50000,48.828MB,42110963,701803.158,0.2
0,def_webserver.f,50000,48.828MB,42223520,703681.130,0.2
1,def_webserver.f,50000,97.656MB,41670935,694470.616,0.2
1,def_webserver.f,50000,97.656MB,41709126,695105.528,0.2
1,def_webserver.f,50000,97.656MB,41446025,690723.338,0.2
1,def_webserver.f,50000,97.656MB,41360753,689299.172,0.2
1,def_webserver.f,50000,97.656MB,40784868,679704.333,0.2
2,def_webserver.f,50000,195.312MB,40478911,674602.947,0.2
2,def_webserver.f,50000,195.312MB,40961382,682642.859,0.2
2,def_webserver.f,50000,195.312MB,40331905,672152.867,0.2
2,def_webserver.f,50000,195.312MB,40522909,675335.883,0.2
2,def_webserver.f,50000,195.312MB,39952255,665823.998,0.2
3,def_webserver.f,50000,390.625MB,39403208,656672.711,0.3
3,def_webserver.f,50000,390.625MB,39139794,650964.978,0.3
3,def_webserver.f,50000,390.625MB,38433121,640505.954,0.3
3,def_webserver.f,50000,390.625MB,37995631,633213.384,0.3
3,def_webserver.f,50000,390.625MB,37642516,627323.502,0.3
4,def_webserver.f,50000,781.250MB,37003135,616672.039,0.3
4,def_webserver.f,50000,781.250MB,36330221,605236.764,0.3
4,def_webserver.f,50000,781.250MB,36624756,610362.845,0.3
4,def_webserver.f,50000,781.250MB,36431367,607142.892,0.3
4,def_webserver.f,50000,781.250MB,36101641,601639.037,0.3
5,def_webserver.f,50000,1562.500MB,37954568,632523.075,0.2
5,def_webserver.f,50000,1562.500MB,38171131,636115.820,0.2
5,def_webserver.f,50000,1562.500MB,38436082,640543.365,0.2
5,def_webserver.f,50000,1562.500MB,38844366,647345.767,0.2
5,def_webserver.f,50000,1562.500MB,39115933,651886.302,0.2
6,def_webserver.f,50000,3125.000MB,26889245,448119.384,0.3
6,def_webserver.f,50000,3125.000MB,27048700,450765.951,0.3
6,def_webserver.f,50000,3125.000MB,27539507,458943.525,0.3
6,def_webserver.f,50000,3125.000MB,27022415,450328.175,0.3
6,def_webserver.f,50000,3125.000MB,26196599,436567.738,0.3
7,def_webserver.f,50000,6250.000MB,13026055,217067.987,0.8
7,def_webserver.f,50000,6250.000MB,13959475,232630.773,0.7
7,def_webserver.f,50000,6250.000MB,12972752,216170.971,0.8
7,def_webserver.f,50000,6250.000MB,14001156,233296.442,0.6
7,def_webserver.f,50000,6250.000MB,13867689,231085.168,0.7
