Run[#],TestType[test.f],Files[#],TotalSize[MB],TotalOps[#],Throughput[ops/s],Latency[ms/op]
0,literature_fileserver.f,50000,48.828MB,18281182,304632.624,0.4
1,literature_fileserver.f,50000,97.656MB,18069766,301130.551,0.4
2,literature_fileserver.f,50000,195.312MB,17846135,297402.864,0.4
3,literature_fileserver.f,50000,390.625MB,16581300,276321.823,0.4
4,literature_fileserver.f,50000,781.250MB,13809948,230123.733,0.5
5,literature_fileserver.f,50000,1562.500MB,12818882,213619.394,0.6
6,literature_fileserver.f,50000,3125.000MB,9581958,159687.284,0.8
7,literature_fileserver.f,50000,6250.000MB,6575017,109571.772,1.1
0,literature_varmail.f,50000,48.828MB,40204352,669984.531,0.1
1,literature_varmail.f,50000,97.656MB,40821180,680229.550,0.1
2,literature_varmail.f,50000,195.312MB,41119445,685230.618,0.1
3,literature_varmail.f,50000,390.625MB,41183152,686271.797,0.1
4,literature_varmail.f,50000,781.250MB,40560743,675937.264,0.1
5,literature_varmail.f,50000,1562.500MB,41046703,683987.527,0.1
6,literature_varmail.f,50000,3125.000MB,40554608,675796.892,0.1
7,literature_varmail.f,50000,6250.000MB,40147429,668988.569,0.1
0,my_varmail.f,50000,48.828MB,33981197,566267.749,0.1
1,my_varmail.f,50000,97.656MB,34285415,571306.094,0.1
2,my_varmail.f,50000,195.312MB,34459149,574259.370,0.1
3,my_varmail.f,50000,390.625MB,34339531,572184.225,0.1
4,my_varmail.f,50000,781.250MB,34329927,572105.303,0.1
5,my_varmail.f,50000,1562.500MB,34049761,567436.143,0.1
6,my_varmail.f,50000,3125.000MB,34023573,567000.535,0.1
7,my_varmail.f,50000,6250.000MB,33659364,560940.748,0.1
0,literature_webserver.f,50000,48.828MB,44740479,745624.233,0.2
1,literature_webserver.f,50000,97.656MB,41748360,695710.038,0.2
2,literature_webserver.f,50000,195.312MB,42144246,702310.377,0.2
3,literature_webserver.f,50000,390.625MB,37203786,620017.363,0.3
4,literature_webserver.f,50000,781.250MB,30937283,515590.998,0.3
5,literature_webserver.f,50000,1562.500MB,22611163,376829.686,0.4
6,literature_webserver.f,50000,3125.000MB,14215093,236904.164,0.6
7,literature_webserver.f,50000,6250.000MB,7687434,128111.484,1.4
