Run[#],TestType[test.f],Files[#],TotalSize[MB],TotalOps[#],Throughput[ops/s],Latency[ms/op]
0,literature_fileserver.f,50000,48.828MB,17205395,286728.537,0.4
1,literature_fileserver.f,50000,97.656MB,17204370,286706.706,0.4
2,literature_fileserver.f,50000,195.312MB,16906822,281743.928,0.4
3,literature_fileserver.f,50000,390.625MB,15663673,261039.707,0.5
4,literature_fileserver.f,50000,781.250MB,13291230,221490.470,0.6
5,literature_fileserver.f,50000,1562.500MB,12010847,200148.223,0.6
6,literature_fileserver.f,50000,3125.000MB,9355109,155901.235,0.8
7,literature_fileserver.f,50000,6250.000MB,6409297,106813.107,1.2
0,literature_varmail.f,50000,48.828MB,40289802,671392.321,0.1
1,literature_varmail.f,50000,97.656MB,40226966,670354.444,0.1
2,literature_varmail.f,50000,195.312MB,40480980,674608.310,0.1
3,literature_varmail.f,50000,390.625MB,40228082,670367.076,0.1
4,literature_varmail.f,50000,781.250MB,40487338,674611.510,0.1
5,literature_varmail.f,50000,1562.500MB,40171228,669398.324,0.1
6,literature_varmail.f,50000,3125.000MB,36743151,612294.302,0.1
7,literature_varmail.f,50000,6250.000MB,38946479,648926.641,0.1
0,noappend_varmail.f,50000,48.828MB,33216373,553525.605,0.1
1,noappend_varmail.f,50000,97.656MB,34003508,566584.686,0.1
2,noappend_varmail.f,50000,195.312MB,33928229,565387.579,0.1
3,noappend_varmail.f,50000,390.625MB,33692805,561444.137,0.1
4,noappend_varmail.f,50000,781.250MB,33684483,561335.750,0.1
5,noappend_varmail.f,50000,1562.500MB,33570951,559453.667,0.1
6,noappend_varmail.f,50000,3125.000MB,33347470,555711.385,0.1
7,noappend_varmail.f,50000,6250.000MB,31954360,532486.874,0.1
0,literature_webserver.f,50000,48.828MB,43348119,722393.641,0.2
1,literature_webserver.f,50000,97.656MB,42098992,701578.189,0.2
2,literature_webserver.f,50000,195.312MB,40519052,675226.963,0.3
3,literature_webserver.f,50000,390.625MB,36152558,602483.590,0.3
4,literature_webserver.f,50000,781.250MB,29755300,495885.112,0.3
5,literature_webserver.f,50000,1562.500MB,21278458,354611.185,0.4
6,literature_webserver.f,50000,3125.000MB,14149754,235815.163,0.7
7,literature_webserver.f,50000,6250.000MB,7770207,129495.624,1.3
