Run[#],TestType[test.f],Files[#],TotalSize[MB],TotalOps[#],Throughput[ops/s],Latency[ms/op]
0,literature_fileserver.f,50000,48.828MB,41515115,691877.290,0.1
1,literature_fileserver.f,50000,97.656MB,41489247,691446.459,0.1
2,literature_fileserver.f,50000,195.312MB,41248248,687428.099,0.1
3,literature_fileserver.f,50000,390.625MB,39060498,650963.318,0.1
4,literature_fileserver.f,50000,781.250MB,35902147,598297.401,0.1
5,literature_fileserver.f,50000,1562.500MB,9193427,153210.755,0.9
6,literature_fileserver.f,50000,3125.000MB,2468485,41138.086,3.6
7,literature_fileserver.f,50000,6250.000MB,413536,6891.608,20.9
0,literature_varmail.f,50000,48.828MB,92819,1546.826,56.8
1,literature_varmail.f,50000,97.656MB,96514,1608.401,54.5
2,literature_varmail.f,50000,195.312MB,98559,1642.471,53.4
3,literature_varmail.f,50000,390.625MB,92478,1541.135,57.0
4,literature_varmail.f,50000,781.250MB,88964,1481.723,59.3
5,literature_varmail.f,50000,1562.500MB,76732,1278.723,67.8
6,literature_varmail.f,50000,3125.000MB,61320,1021.875,85.6
7,literature_varmail.f,50000,6250.000MB,87807,1461.760,60.1
0,my_varmail.f,50000,48.828MB,30871467,514493.383,0.1
1,my_varmail.f,50000,97.656MB,30702068,511666.783,0.1
2,my_varmail.f,50000,195.312MB,30641063,510653.897,0.1
3,my_varmail.f,50000,390.625MB,30782131,513004.292,0.1
4,my_varmail.f,50000,781.250MB,30671953,511169.893,0.1
5,my_varmail.f,50000,1562.500MB,30516125,508571.001,0.1
6,my_varmail.f,50000,3125.000MB,25420207,423630.133,0.2
7,my_varmail.f,50000,6250.000MB,24296198,404899.356,0.2
0,literature_webserver.f,50000,48.828MB,70135323,1168846.718,0.1
1,literature_webserver.f,50000,97.656MB,70243462,1170654.479,0.1
2,literature_webserver.f,50000,195.312MB,73290702,1221439.859,0.1
3,literature_webserver.f,50000,390.625MB,83790858,1396430.235,0.1
4,literature_webserver.f,50000,781.250MB,75222826,1253634.370,0.1
5,literature_webserver.f,50000,1562.500MB,46116133,768518.525,0.1
6,literature_webserver.f,50000,3125.000MB,26212193,436817.975,0.2
7,literature_webserver.f,50000,6250.000MB,12225386,203721.393,0.6
